,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2010-11,NYR,22,10,19,-1,0,0,0,0,0,0,0,0.0,12,0.0,12,6:30,20,3,2,0
2,2011-12,VAN,23,68,81,-1,4,0,0,0,4,0,0,8.3,82,8.3,82,8:10,118,23,14,8
3,2012-13,VAN,24,40,43,-7,3,0,0,2,3,0,0,8.6,55,8.6,55,9:33,84,13,8,5
4,2013-14,TOT,25,61,59,3,5,1,0,1,10,0,0,14.6,65,14.6,65,8:25,103,26,17,14
5,2013-14,VAN,25,44,42,-1,2,1,0,0,9,0,0,10.3,43,10.3,43,7:46,65,13,12,10
6,2013-14,MTL,25,17,17,4,3,0,0,1,1,0,0,25.0,22,25.0,22,10:07,38,13,5,4
7,2014-15,MTL,26,79,34,21,10,0,0,1,19,0,0,11.0,155,11.0,155,12:11,145,34,26,12
8,2015-16,TOT,27,71,24,4,11,3,0,1,10,3,0,10.3,220,10.3,220,13:25,127,26,18,16
9,2015-16,MTL,27,56,22,0,11,3,0,1,9,3,0,12.0,191,12.0,191,14:21,108,23,17,13
10,2015-16,CHI,27,15,2,4,0,0,0,0,1,0,0,0.0,29,0.0,29,9:57,19,3,1,3
11,2016-17,PHI,28,20,8,-1,1,1,0,1,2,0,0,6.9,47,6.9,47,12:20,33,6,8,5
