,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CHI,19,689,684,50.2,-1.9,543,534,50.4,-2.4,12.0,90.3,102.,54.0,46.0
2,2008-09,CHI,20,1094,781,58.3,2.0,828,613,57.5,1.0,9.4,90.2,99.7,62.7,37.3
3,2009-10,CHI,21,1213,819,59.7,1.8,922,599,60.6,0.5,9.3,89.3,98.6,60.7,39.3
4,2010-11,CHI,22,1305,1002,56.6,4.1,987,755,56.7,3.7,10.0,91.6,101.,62.3,37.7
5,2011-12,CHI,23,996,742,57.3,5.1,759,569,57.2,4.8,9.9,89.7,99.7,64.4,35.6
6,2012-13,CHI,24,713,529,57.4,2.8,551,380,59.2,3.2,11.6,92.8,104.,55.2,44.8
7,2013-14,CHI,25,1345,903,59.8,5.0,1002,692,59.1,3.5,9.4,91.2,100.,63.9,36.1
8,2014-15,CHI,26,1335,1017,56.8,4.0,955,778,55.1,3.1,9.3,94.2,103.,57.4,42.6
9,2015-16,CHI,27,1226,1121,52.2,2.3,888,844,51.3,1.8,8.2,92.5,100.,56.5,43.5
10,2016-17,CHI,28,511,453,53.0,3.0,347,364,48.8,-0.8,9.9,92.0,101.,59.5,40.5
