,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
2,2007-08,CHI,21.0,45.0,52.0,-3.0,4.0,2.0,0.0,0.0,10.0,2.0,0.0,14.3,95.0,14.3,95.0,17.12,46.0,33.0,5.0,8.0,barkeca01,21.0,440.0,495.0,47.1,-4.7,338.0,404.0,45.6,-7.8,10.8,90.9,101.0,50.5,49.5,1
3,2008-09,CHI,22.0,68.0,65.0,-6.0,1.0,5.0,0.0,1.0,9.0,24.0,1.0,5.9,232.0,5.9,232.0,18.20,83.0,42.0,9.0,17.0,barkeca01,22.0,785.0,648.0,54.8,-3.0,611.0,522.0,53.9,-3.6,7.0,90.5,97.4,58.3,41.7,1
4,2009-10,TOT,23.0,70.0,68.0,5.0,1.0,4.0,0.0,1.0,10.0,6.0,0.0,4.8,220.0,4.8,220.0,15.31,75.0,53.0,3.0,20.0,barkeca01,23.0,809.0,739.0,52.3,-3.4,635.0,557.0,53.3,-3.1,8.9,91.8,100.0,55.5,44.5,1
7,2010-11,MIN,24.0,52.0,34.0,-10.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,2.3,109.0,2.3,109.0,16.24,68.0,61.0,6.0,5.0,barkeca01,24.0,542.0,708.0,43.4,-2.5,422.0,548.0,43.5,-3.3,7.5,92.4,99.9,51.0,49.0,1
8,2011-12,EDM,25.0,25.0,23.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.7,80.0,5.7,80.0,18.22,36.0,19.0,2.0,18.0,barkeca01,25.0,310.0,403.0,43.5,-4.5,223.0,310.0,41.8,-9.3,10.2,93.2,103.0,47.2,52.8,1
9,2012-13,VAN,26.0,14.0,4.0,-3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,0.0,36.0,14.12,16.0,16.0,0.0,4.0,barkeca01,26.0,172.0,186.0,48.0,-3.9,128.0,143.0,47.2,-4.8,6.1,90.9,97.0,55.9,44.1,1
10,2007-08,CHI,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,10.07,1.0,1.0,0.0,0.0,bertiad01,21.0,12.0,13.0,48.0,7.3,9.0,11.0,45.0,0.3,0.0,100.0,100.0,60.0,40.0,1
12,2007-08,CHI,21.0,4.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,9.08,7.0,1.0,1.0,0.0,bickebr01,21.0,31.0,16.0,66.0,19.0,26.0,13.0,66.7,17.2,0.0,90.0,90.0,60.0,40.0,1
13,2009-10,CHI,23.0,16.0,5.0,4.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,15.0,32.0,15.0,32.0,9.36,22.0,2.0,4.0,0.0,bickebr01,23.0,141.0,90.0,61.0,1.1,109.0,58.0,65.3,4.6,8.4,93.0,101.0,60.3,39.7,1
14,2010-11,CHI,24.0,78.0,40.0,6.0,15.0,2.0,0.0,2.0,19.0,1.0,0.0,13.1,219.0,13.1,219.0,13.50,178.0,13.0,34.0,7.0,bickebr01,24.0,825.0,923.0,47.2,-9.6,614.0,685.0,47.3,-10.0,10.4,91.7,102.0,44.8,55.2,1
15,2011-12,CHI,25.0,71.0,48.0,-3.0,9.0,0.0,0.0,0.0,15.0,0.0,0.0,10.7,162.0,10.7,162.0,12.08,128.0,23.0,21.0,22.0,bickebr01,25.0,718.0,706.0,50.4,-4.9,523.0,525.0,49.9,-5.2,9.2,90.4,99.5,38.1,61.9,1
16,2012-13,CHI,26.0,48.0,25.0,12.0,9.0,0.0,0.0,2.0,14.0,0.0,0.0,11.0,149.0,11.0,149.0,12.48,108.0,13.0,23.0,11.0,bickebr01,26.0,558.0,456.0,55.0,0.1,406.0,324.0,55.6,-0.8,8.7,94.6,103.0,58.1,41.9,1
17,2013-14,CHI,27.0,59.0,28.0,-6.0,11.0,0.0,0.0,2.0,4.0,0.0,0.0,11.8,179.0,11.8,179.0,11.21,105.0,10.0,10.0,8.0,bickebr01,27.0,639.0,467.0,57.8,0.5,472.0,355.0,57.1,-0.3,6.6,89.0,95.6,69.6,30.4,1
18,2014-15,CHI,28.0,80.0,38.0,5.0,13.0,1.0,0.0,3.0,12.0,2.0,0.0,12.4,195.0,12.4,195.0,12.05,205.0,13.0,26.0,20.0,bickebr01,28.0,922.0,775.0,54.3,0.5,659.0,588.0,52.8,-0.2,6.8,93.8,100.0,70.2,29.8,1
19,2015-16,CHI,29.0,25.0,2.0,-5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,44.0,0.0,44.0,9.47,58.0,10.0,4.0,7.0,bickebr01,29.0,227.0,214.0,51.5,0.2,165.0,162.0,50.5,-1.2,4.2,92.4,96.5,73.7,26.3,1
20,2016-17,CAR,30.0,7.0,4.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,16.7,12.0,16.7,12.0,9.42,10.0,1.0,3.0,1.0,bickebr01,30.0,45.0,47.0,48.9,-4.2,34.0,38.0,47.2,-3.6,9.1,96.3,105.0,40.0,60.0,1
22,2007-08,CHI,21.0,39.0,28.0,6.0,4.0,0.0,0.0,0.0,12.0,1.0,0.0,8.2,74.0,8.2,74.0,13.43,55.0,21.0,18.0,6.0,bollada01,21.0,336.0,349.0,49.1,-5.0,283.0,273.0,50.9,-5.1,9.9,92.5,102.0,45.0,55.0,1
23,2008-09,CHI,22.0,81.0,52.0,19.0,15.0,2.0,2.0,4.0,25.0,1.0,2.0,17.1,193.0,17.1,193.0,16.27,67.0,40.0,35.0,10.0,bollada01,22.0,1006.0,826.0,54.9,-0.1,811.0,667.0,54.9,0.0,9.5,91.7,101.0,43.4,56.6,1
24,2009-10,CHI,23.0,39.0,28.0,5.0,5.0,1.0,0.0,0.0,9.0,1.0,0.0,11.5,85.0,11.5,85.0,17.22,33.0,19.0,27.0,12.0,bollada01,23.0,512.0,449.0,53.3,-7.8,392.0,326.0,54.6,-7.5,9.6,90.9,100.0,53.3,46.7,1
25,2010-11,CHI,24.0,61.0,34.0,11.0,11.0,4.0,0.0,1.0,14.0,8.0,0.0,14.7,179.0,14.7,179.0,17.39,41.0,35.0,55.0,22.0,bollada01,24.0,690.0,739.0,48.3,-7.0,539.0,547.0,49.6,-6.0,9.9,92.9,102.0,33.5,66.5,1
