,name,url,height,weight,shot,pos,draft
0,Ryan Nugent-Hopkins,/players/n/nugenry01.html,183,189,L,C,1st
1,Gabriel Landeskog,/players/l/landega01.html,185,210,L,L,2nd
2,Jonathan Huberdeau,/players/h/huberjo01.html,185,188,L,C,3rd
3,Adam Larsson,/players/l/larssad01.html,190,205,R,D,4th
4,Ryan Strome,/players/s/stromry01.html,185,199,R,C,5th
5,Mika Zibanejad,/players/z/zibanmi01.html,188,222,R,C,6th
6,Mark Scheifele,/players/s/scheima01.html,188,207,R,C,7th
7,Sean Couturier,/players/c/coutuse01.html,190,211,L,C,8th
8,Dougie Hamilton,/players/h/hamildo01.html,198,210,R,D,9th
9,Jonas Brodin,/players/b/brodijo01.html,185,195,L,D,10t
10,Duncan Siemens,/players/s/siemedu01.html,190,200,a,D,11t
11,Ryan Murphy,/players/m/murphry01.html,180,185,R,D,12t
12,Sven Baertschi,/players/b/baertsv01.html,180,190,L,L,13t
13,Jamie Oleksiak,/players/o/oleksja01.html,201,260,L,D,14t
14,J.T. Miller,/players/m/millejt01.html,185,205,L,C,15t
15,Joel Armia,/players/a/armiajo01.html,190,205,R,R,16t
16,Nathan Beaulieu,/players/b/beaulna01.html,188,205,L,D,17t
17,Mark McNeill,/players/m/mcneima01.html,188,214,R,R,18t
18,Oscar Klefbom,/players/k/klefbos01.html,190,215,L,D,19t
19,Connor Murphy,/players/m/murphco02.html,193,212,R,D,20t
20,Stefan Noesen,/players/n/noesest01.html,185,201,R,R,21s
21,Tyler Biggs,/players/b/biggsty01.html,188,205,a,R,22n
22,Joseph Morrow,/players/m/morrojo02.html,183,199,L,D,23r
23,Matt Puempel,/players/p/puempma01.html,188,204,L,L,24t
24,Stuart Percy,/players/p/percyst01.html,185,187,L,D,25t
25,Phillip Danault,/players/d/danauph01.html,183,201,L,L,26t
26,Vladislav Namestnikov,/players/n/namesvl01.html,180,180,L,C,27t
27,Zack Phillips,/players/p/phillza01.html,ml>,ml>,a,C,28t
28,Nicklas Jensen,/players/j/jenseni01.html,190,203,L,L,29t
29,Rickard Rakell,/players/r/rakelri01.html,188,201,R,R,30t
30,David Musil,/players/m/musilda01.html,190,198,a,D,31s
31,Ty Rattie,/players/r/rattity01.html,183,178,R,R,32n
32,Rocco Grimaldi,/players/g/grimaro01.html,168,160,R,C,33r
33,Scott Mayfield,/players/m/mayfisc01.html,193,224,R,D,34t
34,Tomas Jurco,/players/j/jurcoto01.html,185,203,L,R,35t
35,Adam Clendening,/players/c/clendad01.html,183,190,R,D,36t
36,Boone Jenner,/players/j/jennebo01.html,188,215,L,C,37t
37,Magnus Hellberg,/players/h/hellbma01.html,196,185,a,G,38t
38,John Gibson,/players/g/gibsojo02.html,190,226,a,G,39t
39,Alexander Khokhlachev,/players/k/khokhal01.html,180,184,L,C,40t
40,Dmitrij Jaskin,/players/j/jaskidm01.html,188,217,L,R,41s
41,Victor Rask,/players/r/raskvi01.html,188,200,L,C,42n
42,Brandon Saad,/players/s/saadbr01.html,185,202,L,L,43r
43,Brett Ritchie,/players/r/ritchbr01.html,190,220,R,R,44t
