Year,Name,Order,Team,Pos,Games,TOI,TOIPG
20142015,Drew Doughty,1,LA,D,82,"2,377",28.99
20142015,Ryan Suter,2,MIN,D,77,"2,237",29.05
20142015,Erik Karlsson,3,OTT,D,82,"2,234",27.24
20142015,P.K. Subban,4,MON,D,82,"2,148",26.20
20142015,Roman Josi,5,NSH,D,81,"2,144",26.47
20142015,Oliver Ekman-Larsson,6,ARI,D,82,"2,067",25.21
20142015,Alex Pietrangelo,7,STL,D,81,"2,058",25.41
20142015,Shea Weber,8,NSH,D,78,"2,056",26.36
20142015,Duncan Keith,9,CHI,D,80,"2,045",25.56
20142015,T.J. Brodie,10,CGY,D,81,"2,041",25.20
20142015,Andrei Markov,11,MON,D,81,"2,017",24.90
20142015,Justin Faulk,12,CAR,D,82,"2,002",24.41
20142015,Dennis Wideman,13,CGY,D,80,"1,971",24.64
20142015,Brent Burns,14,SJ,D,82,"1,964",23.95
20142015,Andy Greene,15,NJ,D,82,"1,930",23.54
20142015,Alex Goligoski,16,DAL,D,81,"1,928",23.80
20142015,Keith Yandle,17,NYR,D,84,"1,924",22.90
20142015,Jack Johnson,18,CLS,D,79,"1,909",24.16
20142015,Niklas Kronwall,19,DET,D,80,"1,907",23.84
20142015,Brian Campbell,20,FLA,D,82,"1,903",23.21
20142015,John Carlson,21,WAS,D,82,"1,891",23.06
20142015,Kris Russell,22,CGY,D,79,"1,891",23.94
20142015,David Savard,23,CLS,D,82,"1,881",22.94
20142015,Dan Girardi,24,NYR,D,82,"1,860",22.68
20142015,Matt Niskanen,25,WAS,D,82,"1,833",22.35
20142015,Justin Schultz,26,EDM,D,81,"1,831",22.60
20142015,Brent Seabrook,27,CHI,D,82,"1,818",22.17
20142015,Dennis Seidenberg,28,BOS,D,82,"1,812",22.10
20142015,Mark Streit,29,PHI,D,81,"1,811",22.36
20142015,Anton Stralman,30,TB,D,82,"1,799",21.94
20142015,Niklas Hjalmarsson,31,CHI,D,82,"1,794",21.88
20142015,Alexander Edler,32,VAN,D,74,"1,774",23.97
20142015,Aaron Ekblad,33,FLA,D,81,"1,766",21.80
20142015,Marek Zidlicky,34,DET,D,84,"1,760",20.95
20142015,Kris Letang,35,PIT,D,69,"1,758",25.48
20142015,Tyler Myers,36,WPG,D,71,"1,749",24.63
20142015,Jake Muzzin,37,LA,D,76,"1,725",22.70
20142015,Jonas Brodin,38,MIN,D,71,"1,716",24.17
20142015,Tyson Barrie,39,COL,D,80,"1,709",21.36
20142015,Ron Hainsey,40,CAR,D,81,"1,708",21.09
20142015,Brooks Orpik,41,WAS,D,78,"1,699",21.78
20142015,Hampus Lindholm,42,ANH,D,78,"1,697",21.76
20142015,John Tavares,43,NYI,C,82,"1,695",20.67
20142015,Cam Fowler,44,ANH,D,80,"1,691",21.14
20142015,Marc Staal,45,NYR,D,80,"1,690",21.13
20142015,Michael Stone,46,ARI,D,81,"1,690",20.86
20142015,Paul Martin,47,PIT,D,74,"1,686",22.78
20142015,Nicklas Backstrom,48,WAS,C,82,"1,683",20.52
20142015,Danny DeKeyser,49,DET,D,80,"1,674",20.93
20142015,Jan Hejda,50,COL,D,81,"1,672",20.64
20142015,Claude Giroux,51,PHI,C,81,"1,665",20.56
20142015,Dion Phaneuf,52,TOR,D,70,"1,660",23.71
20142015,Jeff Petry,53,MON,D,78,"1,657",21.24
20142015,Jake Gardiner,54,TOR,D,79,"1,656",20.96
20142015,Joe Pavelski,55,SJ,C,82,"1,650",20.12
20142015,Morgan Rielly,56,TOR,D,81,"1,647",20.33
20142015,Alex Ovechkin,57,WAS,LW,81,"1,646",20.32
20142015,Ryan McDonagh,58,NYR,D,71,"1,642",23.13
20142015,Jamie Benn,59,DAL,LW,82,"1,635",19.94
20142015,Jay Bouwmeester,60,STL,D,72,"1,631",22.65
20142015,Seth Jones,61,NSH,D,82,"1,630",19.88
20142015,Andrew Ladd,62,WPG,LW,81,"1,625",20.06
20142015,Ryan O'Reilly,63,COL,LW,82,"1,617",19.72
20142015,Rasmus Ristolainen,64,BUF,D,78,"1,607",20.60
20142015,Patrick Marleau,65,SJ,LW,82,"1,606",19.59
20142015,Andrej Sekera,66,LA,D,73,"1,605",21.99
20142015,Jonathan Ericsson,67,DET,D,82,"1,605",19.57
20142015,Ryan Johansen,68,CLS,C,82,"1,599",19.50
20142015,Karl Alzner,69,WAS,D,82,"1,593",19.43
20142015,Sean Monahan,70,CGY,C,81,"1,589",19.62
20142015,Steven Stamkos,71,TB,C,82,"1,588",19.37
20142015,Nick Leddy,72,NYI,D,78,"1,588",20.36
20142015,Jonathan Toews,73,CHI,C,81,"1,584",19.56
20142015,Ryan Kesler,74,ANH,C,81,"1,580",19.51
20142015,Kyle Turris,75,OTT,C,82,"1,575",19.21
20142015,Tyler Bozak,76,TOR,C,82,"1,570",19.15
20142015,Tomas Plekanec,77,MON,C,82,"1,570",19.15
20142015,Rob Scuderi,78,PIT,D,82,"1,569",19.13
20142015,Ryan Nugent-Hopkins,79,EDM,C,76,"1,568",20.63
20142015,Dustin Byfuglien,80,WPG,D,69,"1,565",22.68
20142015,Brenden Dillon,81,SJ,D,80,"1,565",19.56
20142015,James van Riemsdyk,82,TOR,LW,82,"1,564",19.07
20142015,Logan Couture,83,SJ,C,82,"1,563",19.06
20142015,Cody Ceci,84,OTT,D,81,"1,562",19.28
20142015,Johnny Boychuk,85,NYI,D,72,"1,561",21.68
20142015,Valtteri Filppula,86,TB,C,82,"1,559",19.01
20142015,Trevor Daley,87,DAL,D,68,"1,555",22.87
20142015,Dmitry Kulikov,88,FLA,D,73,"1,555",21.30
20142015,Blake Wheeler,89,WPG,RW,79,"1,553",19.66
20142015,Max Pacioretty,90,MON,LW,80,"1,551",19.39
20142015,Jason Demers,91,DAL,D,81,"1,549",19.12
20142015,Travis Hamonic,92,NYI,D,71,"1,547",21.79
20142015,Ryan Getzlaf,93,ANH,C,77,"1,547",20.09
20142015,Marc-Edouard Vlasic,94,SJ,D,70,"1,547",22.10
20142015,Nick Holden,95,COL,D,78,"1,544",19.79
20142015,Jordan Eberle,96,EDM,RW,81,"1,542",19.04
20142015,Mikko Koivu,97,MIN,C,80,"1,541",19.26
20142015,Johnny Oduya,98,CHI,D,76,"1,541",20.28
20142015,Phil Kessel,99,TOR,RW,82,"1,541",18.79
20142015,Sidney Crosby,100,PIT,C,77,"1,537",19.96
20142015,Mike Ribeiro,101,NSH,C,82,"1,537",18.74
20142015,Dougie Hamilton,102,BOS,D,72,"1,536",21.33
20142015,Mark Giordano,103,CGY,D,61,"1,535",25.16
20142015,Thomas Hickey,104,NYI,D,81,"1,533",18.93
20142015,Anze Kopitar,105,LA,C,79,"1,531",19.38
20142015,Cody Franson,106,NSH,D,78,"1,531",19.63
20142015,Torey Krug,107,BOS,D,78,"1,528",19.59
20142015,Henrik Sedin,108,VAN,C,82,"1,526",18.61
20142015,Mark Scheifele,109,WPG,C,82,"1,524",18.59
20142015,Jakub Voracek,110,PHI,RW,82,"1,524",18.59
20142015,Nick Schultz,111,PHI,D,80,"1,523",19.04
20142015,Matt Duchene,112,COL,C,82,"1,522",18.56
20142015,Marian Hossa,113,CHI,RW,82,"1,521",18.55
20142015,Mattias Ekholm,114,NSH,D,80,"1,520",19.00
20142015,Gabriel Landeskog,115,COL,LW,82,"1,517",18.50
20142015,Jacob Trouba,116,WPG,D,65,"1,515",23.31
20142015,Sean Couturier,117,PHI,C,82,"1,507",18.38
20142015,Daniel Sedin,118,VAN,LW,82,"1,505",18.35
20142015,Jason Pominville,119,MIN,RW,82,"1,499",18.28
20142015,Loui Eriksson,120,BOS,RW,81,"1,496",18.47
20142015,Jared Spurgeon,121,MIN,D,66,"1,493",22.62
20142015,Shane Doan,122,ARI,RW,79,"1,491",18.87
20142015,David Backes,123,STL,C,80,"1,491",18.64
20142015,Tyler Ennis,124,BUF,C,78,"1,490",19.10
20142015,Nick Foligno,125,CLS,LW,79,"1,487",18.82
20142015,Jarome Iginla,126,COL,RW,82,"1,487",18.13
20142015,Alexander Steen,127,STL,LW,74,"1,478",19.97
20142015,Christopher Tanev,128,VAN,D,70,"1,475",21.07
20142015,Jeff Carter,129,LA,C,82,"1,473",17.96
20142015,Justin Braun,130,SJ,D,70,"1,472",21.03
20142015,Henrik Zetterberg,131,DET,C,77,"1,471",19.10
20142015,Zdeno Chara,132,BOS,D,63,"1,470",23.33
20142015,Patrice Bergeron,133,BOS,C,81,"1,468",18.12
20142015,Zach Bogosian,134,BUF,D,62,"1,466",23.65
20142015,Antoine Vermette,135,CHI,C,82,"1,463",17.84
20142015,James Wisniewski,136,ANH,D,69,"1,462",21.19
20142015,Francois Beauchemin,137,ANH,D,64,"1,455",22.73
20142015,Alex Tanguay,138,COL,LW,80,"1,452",18.15
20142015,Eric Staal,139,CAR,C,77,"1,451",18.84
20142015,Joe Thornton,140,SJ,C,78,"1,437",18.42
20142015,Sami Vatanen,141,ANH,D,67,"1,437",21.45
20142015,Troy Brouwer,142,WAS,RW,82,"1,436",17.51
20142015,Michael Frolik,143,WPG,RW,82,"1,435",17.50
20142015,Willie Mitchell,144,FLA,D,66,"1,430",21.67
20142015,Luca Sbisa,145,VAN,D,76,"1,427",18.78
20142015,Kyle Quincey,146,DET,D,73,"1,421",19.47
20142015,Filip Forsberg,147,NSH,RW,82,"1,421",17.33
20142015,Zach Parise,148,MIN,LW,74,"1,419",19.18
20142015,John Klingberg,149,DAL,D,65,"1,419",21.83
20142015,Johnny Gaudreau,150,CGY,LW,80,"1,417",17.71
20142015,David Desharnais,151,MON,C,82,"1,414",17.24
20142015,Brandon Saad,152,CHI,LW,82,"1,414",17.24
20142015,Toby Enstrom,153,WPG,D,60,"1,414",23.57
20142015,Erik Gudbranson,154,FLA,D,76,"1,413",18.59
20142015,Jason Spezza,155,DAL,C,82,"1,412",17.22
20142015,Zbynek Michalek,156,STL,D,68,"1,411",20.75
20142015,Travis Zajac,157,NJ,C,74,"1,410",19.05
20142015,Teddy Purcell,158,EDM,RW,82,"1,407",17.16
20142015,Matt Read,159,PHI,RW,80,"1,405",17.56
20142015,Jiri Hudler,160,CGY,RW,78,"1,404",18.00
20142015,Michael Del Zotto,161,PHI,D,64,"1,403",21.92
20142015,David Perron,162,PIT,LW,81,"1,403",17.32
20142015,Brayden Schenn,163,PHI,C,82,"1,400",17.07
20142015,Jason Garrison,164,TB,D,70,"1,400",20.00
20142015,Sam Gagner,165,ARI,C,81,"1,396",17.23
20142015,Bryan Little,166,WPG,C,70,"1,394",19.91
20142015,Tom Gilbert,167,MON,D,72,"1,392",19.33
20142015,Derick Brassard,168,NYR,C,80,"1,391",17.39
20142015,Marco Scandella,169,MIN,D,64,"1,390",21.72
20142015,Tyler Seguin,170,DAL,C,71,"1,388",19.55
20142015,Brandon Sutter,171,PIT,C,80,"1,385",17.31
20142015,Joel Ward,172,WAS,RW,82,"1,382",16.85
20142015,Carl Soderberg,173,BOS,C,82,"1,378",16.80
20142015,Rick Nash,174,NYR,LW,79,"1,378",17.44
20142015,Mike Green,175,WAS,D,72,"1,375",19.10
20142015,Jaden Schwartz,176,STL,LW,75,"1,368",18.24
20142015,Ryan Callahan,177,TB,RW,77,"1,365",17.73
20142015,Gustav Nyquist,178,DET,RW,82,"1,365",16.65
20142015,Bobby Ryan,179,OTT,RW,78,"1,362",17.46
20142015,Mark Stone,180,OTT,RW,80,"1,361",17.01
20142015,Matt Moulson,181,BUF,LW,77,"1,361",17.68
20142015,Robyn Regehr,182,LA,D,67,"1,361",20.31
20142015,Brendan Gallagher,183,MON,RW,82,"1,360",16.59
20142015,Brendan Smith,184,DET,D,76,"1,359",17.88
20142015,Vladimir Tarasenko,185,STL,RW,77,"1,357",17.62
20142015,T.J. Oshie,186,STL,RW,72,"1,356",18.83
20142015,Jon Merrill,187,NJ,D,66,"1,356",20.55
20142015,Jussi Jokinen,188,FLA,C,81,"1,355",16.73
20142015,Dustin Brown,189,LA,LW,82,"1,354",16.51
20142015,Jaromir Jagr,190,FLA,RW,77,"1,352",17.56
20142015,Marcus Johansson,191,WAS,C,82,"1,350",16.46
20142015,Alexei Emelin,192,MON,D,68,"1,347",19.81
20142015,Mats Zuccarello,193,NYR,RW,78,"1,346",17.26
20142015,Barret Jackman,194,STL,D,80,"1,345",16.81
20142015,Mark Stuart,195,WPG,D,70,"1,345",19.21
20142015,Adam Larsson,196,NJ,D,64,"1,341",20.95
20142015,Cody Eakin,197,DAL,C,78,"1,341",17.19
20142015,Victor Hedman,198,TB,D,59,"1,338",22.68
20142015,Fedor Tyutin,199,CLS,D,67,"1,334",19.91
20142015,Scott Hartnell,200,CLS,LW,77,"1,331",17.29
