,name,year
0,adamscr01,1996
1,ashamar01,1996
2,beginst01,1996
3,belaner01,1996
4,bouleje01,1996
5,bradlma01,1996
6,brierda01,1996
7,charazd01,1996
8,clarkbr01,1996
9,cullema01,1996
10,deverbo01,1996
11,dumonjp01,1996
12,greenjo01,1996
13,hinotda01,1996
14,kaberto01,1996
15,kanebo01,1996
16,kubinpa01,1996
17,kwiatjo01,1996
18,lacouda01,1996
19,letowtr01,1996
20,lydmato01,1996
21,macdocr01,1996
22,mitchwi01,1996
23,morride01,1996
24,nilsoma01,1996
25,pahlssa01,1996
26,parkesc01,1996
27,parrima01,1996
28,phillch02,1996
29,pisanfe01,1996
30,potito01,1996
31,reasoma01,1996
32,rozsimi01,1996
33,saleiru01,1996
34,salosa01,1996
35,saricco01,1996
36,simjo01,1996
37,sturmma01,1996
38,whiteco01,1996
39,whitftr01,1996
40,willsbr01,1996
41,zubruda01,1996
42,zyuzian01,1996
43,afinoma01,1997
44,boyntni01,1997
45,breweer01,1997
46,caldeky01,1997
47,campbbr02,1997
48,chimeja01,1997
49,clearda01,1997
50,cookema01,1997
51,corvojo01,1997
52,fedorto01,1997
53,ferenan01,1997
54,guitebe01,1997
55,hannasc01,1997
56,hossama01,1997
57,huselkr01,1997
58,jokinol01,1997
59,laingqu01,1997
60,larsebr01,1997
61,lessafr01,1997
62,mairad01,1997
63,marapa01,1997
64,marlepa01,1997
65,mcleabr01,1997
66,melicjo01,1997
67,morrobr01,1997
68,mottami01,1997
69,nagyla01,1997
70,rachuka01,1997
71,reichje01,1997
72,samsose01,1997
73,smithma01,1997
74,smithwy01,1997
75,tallihe01,1997
76,thornjo01,1997
77,thornsh01,1997
78,wardja01,1997
79,yorkmi01,1997
80,allenbo01,1998
81,allenbr01,1998
82,antroni01,1998
83,arnasty01,1998
84,backmch01,1998
85,barchkr01,1998
86,beaucfr01,1998
87,bellma01,1998
88,bettsbl01,1998
89,cheecjo01,1998
90,coleer01,1998
91,datsypa01,1998
92,davisro01,1998
93,dipenjo01,1998
94,erskijo01,1998
95,fishemi01,1998
96,frogrjo01,1998
97,gagnesi01,1998
98,giontbr01,1998
99,gomezsc01,1998
100,horcosh01,1998
101,huntetr01,1998
102,huskike01,1998
103,kalindm01,1998
104,kanebo01,1998
105,kapanni01,1998
106,kotalal01,1998
107,leachja02,1998
108,lecavvi01,1998
109,legwada01,1998
110,malhoma01,1998
111,markoan01,1998
112,neilch01,1998
113,parkesc01,1998
114,peteran01,1998
115,peterto01,1998
116,pohljo01,1998
117,ponikal01,1998
118,regehro01,1998
119,ribeimi01,1998
120,richabr01,1998
121,rourkal01,1998
122,ruppmi01,1998
123,ruutuja01,1998
124,rydermi01,1998
125,samuemi01,1998
126,scudero01,1998
127,skoulma01,1998
128,skraska01,1998
129,spaceja01,1998
130,stuarbr02,1998
131,tangual01,1998
132,vaanaos01,1998
133,vanrymi01,1998
134,vasicjo01,1998
135,vishnvi01,1998
136,walkema01,1998
137,walliri01,1998
138,anderjo02,1999
139,beechkr01,1999
140,boyntni01,1999
141,carknma01,1999
142,clarkno02,1999
143,commomi01,1999
144,comrimi01,1999
145,connoti01,1999
146,eratma01,1999
147,exelbga01,1999
148,fingeje01,1999
149,giroual01,1999
150,hagmani01,1999
151,hallad01,1999
152,havelni01,1999
153,havlama01,1999
154,haydada01,1999
155,hutchan01,1999
156,jackmba01,1999
157,janceda01,1999
158,janikdo01,1999
159,kaberfr01,1999
160,kellych01,1999
161,kostoto01,1999
162,leopojo01,1999
163,lundmja01,1999
164,mackede01,1999
165,malonry01,1999
166,martira01,1999
167,mccarst01,1999
168,mcgrabr01,1999
169,mezeibr01,1999
170,murlema01,1999
171,murrado01,1999
172,parroge01,1999
173,pyattta01,1999
174,radivbr01,1999
175,ryanmi01,1999
176,sedinda01,1999
177,sedinhe01,1999
178,semenal01,1999
179,tanabda01,1999
180,tjarnma01,1999
181,vrbatra01,1999
182,wanviky01,1999
183,yonkmno01,1999
184,zettehe01,1999
185,zigommi01,1999
186,baydary01,2000
187,bennja01,2000
188,bootlda01,2000
189,boyesbr01,2000
190,caldwry01,2000
191,coteje01,2000
192,disaljo01,2000
193,duponmi01,2000
194,engelde01,2000
195,faheybr01,2000
196,fosteku01,2000
197,froloal01,2000
198,gaborma01,2000
199,gamacsi01,2000
200,gaustpa01,2000
201,getzlry01,2000
202,hainsro01,2000
203,haleda01,2000
204,hartnsc01,2000
205,heatlda01,2000
206,hendrma01,2000
207,hilbean01,2000
208,hordida01,2000
209,hossama01,2000
210,hossama02,2000
211,iginlja01,2000
212,jagrja01,2000
213,keithdu01,2000
214,kleslro01,2000
215,kocida01,2000
216,kolankr01,2000
217,kopecto01,2000
218,kronwni01,2000
219,lefebgu01,2000
220,lidstni01,2000
221,lilesjo01,2000
222,liljaan01,2000
223,lombama01,2000
224,lundqjo01,2000
225,malmiol01,2000
226,martipa01,2000
227,miettan01,2000
228,moentr01,2000
229,mooredo01,2000
230,nummepe01,2000
231,orpikbr01,2000
232,ottst01,2000
233,ouellmi01,2000
234,ovechal01,2000
235,perryco01,2000
236,pettima01,2000
237,reitzer01,2000
238,ruppmi01,2000
239,sauerku01,2000
240,schulni01,2000
241,smithna02,2000
242,sprukja01,2000
243,stollja01,2000
244,suthebr01,2000
245,taffeje01,2000
246,thornjo01,2000
247,toewsjo01,2000
248,torrera01,2000
249,vermean01,2000
250,visnolu01,2000
251,volchan01,2000
252,wallini01,2000
253,wellecr01,2000
254,williju01,2000
255,winchbr01,2000
256,zanongr01,2000
257,alberan01,2001
258,armstco01,2001
259,artyuev01,2001
260,bellbr02,2001
261,biekske01,2001
262,bochebr01,2001
263,boogade01,2001
264,cammami01,2001
265,cavanto01,2001
266,clowery01,2001
267,colaica01,2001
268,ehrhoch01,2001
269,fatadr01,2001
270,gleasti01,2001
271,gocma01,2001
272,hamhuda01,2001
273,harrija01,2001
274,hemskal01,2001
275,hollwry01,2001
276,jackmti01,2001
277,johnsaa01,2001
278,jokinju01,2001
279,jurcimi01,2001
280,keithma01,2001
281,kingja01,2001
282,kobasch01,2001
283,koivumi01,2001
284,komismi01,2001
285,kondrma01,2001
286,kovalil01,2001
287,krajilu01,2001
288,laichbr01,2001
289,mccleja01,2001
290,mccorco01,2001
291,mojzito01,2001
292,morrish01,2001
293,mossda01,2001
294,murraan01,2001
295,murraga01,2001
296,nolanbr01,2001
297,novotji01,2001
298,oduyajo01,2001
299,paetsna01,2001
300,parenpi01,2001
301,perrajo01,2001
302,petiori01,2001
303,plekato01,2001
304,plihato01,2001
305,pominja01,2001
306,popovma01,2001
307,royde01,2001
308,ruututu01,2001
309,schubch01,2001
310,seidede01,2001
311,sharppa01,2001
312,sjostfr01,2001
313,spezzja01,2001
314,spillma01,2001
315,steckda01,2001
316,stuarco01,2001
317,svatoma01,2001
318,thorbch01,2001
319,tootojo01,2001
320,tyutife01,2001
321,umberrj01,2001
322,veillst01,2001
323,vorosaa01,2001
324,wanviky01,2001
325,weissst01,2001
326,welchno01,2001
327,wellwky01,2001
328,woywije01,2001
329,zidlima01,2001
330,zigommi01,2001
331,babchan01,2002
332,ballake01,2002
333,bennja01,2002
334,bergese01,2002
335,bouchpi02,2002
336,bouwmja01,2002
337,boychjo01,2002
338,brentti01,2002
339,burisad01,2002
340,callajo02,2002
341,campbgr01,2002
342,chriser01,2002
343,conboti01,2002
344,crabbjo01,2002
345,craigry01,2002
346,daleytr01,2002
347,deveaan01,2002
348,dwyerpa01,2002
349,eagerbe01,2002
350,emingst01,2002
351,ericsjo01,2002
352,filppva01,2002
353,fleisto01,2002
354,foyma01,2002
355,gilbeto01,2002
356,globkro01,2002
357,goertst01,2002
358,gordobo01,2002
359,grebede01,2002
360,greenma01,2002
361,guenina01,2002
362,helmidw01,2002
363,higgich01,2002
364,hudleji01,2002
365,jamesco01,2002
366,janssca01,2002
367,jonesma01,2002
368,keithdu01,2002
369,kingdj01,2002
370,kronwst01,2002
371,lindsjo01,2002
372,lombama01,2002
373,lupuljo01,2002
374,mauldgr01,2002
375,meechde01,2002
376,mormijo01,2002
377,nashri01,2002
378,newbukr01,2002
379,nielsfr01,2002
380,nystrer01,2002
381,oystrna01,2002
382,paddoca01,2002
383,paillda01,2002
384,pikkail01,2002
385,pitkajo01,2002
386,pruchpe01,2002
387,rangepa01,2002
388,romeaa01,2002
389,segalbr01,2002
390,seminal01,2002
391,skinnbr01,2002
392,slateji01,2002
393,stajama01,2002
394,stastya01,2002
395,steenal01,2002
396,stollja01,2002
397,talboma01,2002
398,tallaba01,2002
399,toewsjo01,2002
400,tolleol01,2002
401,upshasc01,2002
402,vandeda01,2002
403,whiteia01,2002
404,whitnry01,2002
405,widemde01,2002
406,wisnija01,2002
407,zeilejo01,2002
408,backeda01,2003
409,bagnadr01,2003
410,bellesh01,2003
411,bergepa01,2003
412,bernist01,2003
413,bissopa01,2003
414,bitzby01,2003
