,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,MDA,21,61,23,-4,4,2,0,0,17,4,0,8.0,,8.0,,</td>,,,,
2,1998-99,MDA,22,75,47,-12,5,5,1,1,12,2,0,9.8,,9.8,,15:31,,,,
3,1999-00,MDA,23,80,24,5,12,1,0,1,18,7,1,9.5,,9.5,,16:54,,,,
4,2000-01,MDA,24,82,38,-23,6,4,0,1,19,11,0,6.3,,6.3,,18:15,,,,
5,2001-02,MDA,25,79,24,-1,14,3,1,4,21,8,1,11.0,,11.0,,17:01,,,,
6,2002-03,TOT,26,80,34,-8,9,3,1,2,12,7,1,9.9,,9.9,,14:28,,,,
7,2002-03,MDA,26,50,12,-4,6,1,0,1,8,6,0,9.1,,9.1,,14:18,,,,
8,2002-03,FLA,26,30,22,-4,3,2,1,1,4,1,1,11.1,,11.1,,14:43,,,,
9,2003-04,FLA,27,56,24,-2,5,1,0,2,10,1,2,8.0,,8.0,,14:12,,,,
10,2005-06,CAR,29,78,40,4,17,8,0,5,13,10,1,11.7,,11.7,,16:26,,,,
11,2006-07,NYR,30,80,52,0,11,2,3,2,18,5,2,7.4,,7.4,,17:10,,,,
12,2007-08,CAR,31,59,32,2,5,8,0,1,20,15,1,9.5,255,9.5,255,16:52,33,30,27,28
13,2008-09,CAR,32,69,20,11,16,4,2,2,15,3,3,15.8,254,15.8,254,16:48,41,44,54,25
14,2009-10,TOT,33,81,34,-7,12,2,2,2,21,10,1,8.2,368,8.2,368,18:45,70,48,53,35
15,2009-10,CAR,33,60,26,0,9,1,2,1,19,8,1,8.8,272,8.8,272,19:02,58,33,42,25
16,2009-10,OTT,33,21,8,-7,3,1,0,1,2,2,0,6.9,96,6.9,96,17:59,12,15,11,10
17,2010-11,MIN,34,78,34,-14,3,5,4,2,11,16,0,8.0,287,8.0,287,18:02,39,36,43,34
18,2011-12,MIN,35,73,24,-10,10,4,0,0,16,5,0,8.5,267,8.5,267,18:56,46,39,37,31
19,2012-13,MIN,36,42,10,9,7,0,0,0,16,4,0,8.9,140,8.9,140,15:53,18,18,14,24
20,2013-14,NSH,37,77,32,4,9,1,0,2,21,8,0,7.5,230,7.5,230,15:30,18,22,30,40
21,2014-15,NSH,38,62,16,8,7,0,0,1,14,4,0,7.8,162,7.8,162,13:01,10,18,26,22
22,2015-16,PIT,39,82,20,5,13,0,3,4,13,0,3,13.6,183,13.6,183,13:53,40,41,19,20
23,2016-17,PIT,40,23,10,-1,4,0,0,1,5,1,0,13.3,57,13.3,57,14:02,11,5,4,9
