,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,OTT,19,7,0,-1,0,0,0,0,0,1,0,0.0,,0.0,,</td>,,,,
2,1998-99,OTT,20,60,37,18,14,1,0,2,13,2,0,12.1,,12.1,,13:59,,,,
3,1999-00,OTT,21,78,32,5,24,5,0,4,16,11,0,12.1,,12.1,,17:12,,,,
4,2000-01,OTT,22,81,44,19,19,11,2,7,29,12,2,12.9,,12.9,,18:01,,,,
5,2001-02,OTT,23,80,50,11,21,9,1,4,21,13,1,11.2,,11.2,,18:29,,,,
6,2002-03,OTT,24,80,34,8,31,14,0,10,16,19,0,19.7,,19.7,,18:31,,,,
7,2003-04,OTT,25,81,46,4,21,14,1,5,21,25,0,15.5,,15.5,,18:37,,,,
8,2005-06,ATL,27,80,67,17,18,14,7<,7,27,25,1,11.4,,11.4,,21:41,,,,
9,2006-07,ATL,28,82,49,18,23,17,3,5,29,27,1,12.6,,12.6,,21:41,,,,
10,2007-08,TOT,29,72,36,-14,19,8,2,4,16,21,0,11.0,401,11.0,401,21:22,63,19,64,35
11,2007-08,ATL,29,60,30,-14,16,8,2,4,12,18,0,11.4,345,11.4,345,21:55,52,15,55,31
12,2007-08,PIT,29,12,6,0,3,0,0,0,4,3,0,8.6,56,8.6,56,18:34,11,4,9,4
13,2008-09,DET,30,74,63,27,30,10,0,8,17,13,1,13.0,503,13.0,503,17:48,69,9,40,34
14,2009-10,CHI,31,57,18,24,17,2,5<,2,21,5,1,12.1,314,12.1,314,18:44,41,14,44,24
15,2010-11,CHI,32,65,32,9,15,8,2,2,20,11,1,12.2,318,12.2,318,19:42,48,23,53,32
16,2011-12,CHI,33,81,20,18,18,9,2,4,36,11,1,11.7,437,11.7,437,19:58,73,40,94,29
17,2012-13,CHI,34,40,16,20,12,4,1,6,11,2,1,14.7,205,14.7,205,18:02,12,13,48,14
18,2013-14,CHI,35,72,20,28,23,4,3,4,20,9,1,12.4,408,12.4,408,18:16,43,26,75,26
19,2014-15,CHI,36,82,32,17,15,6,1,2,28,11,0,8.9,447,8.9,447,18:33,62,26,68,30
20,2015-16,CHI,37,64,24,10,8,2,3,2,12,7,1,6.8,307,6.8,307,17:16,37,33,44,25
21,2016-17,CHI,38,23,6,5,8,3,0,3,3,3,0,20.8,98,20.8,98,17:21,6,13,15,5
