,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,TBL,20,10,22,-1,1,0,0,0,2,0,0,12.5,,12.5,,</td>,,,,
2,1998-99,TBL,21,68,80,-33,5,3,1,1,9,3,0,7.6,,7.6,,22:47,,,,
3,1999-00,TBL,22,69,93,-19,2,6,0,3,9,9,0,6.3,,6.3,,22:32,,,,
4,2000-01,TBL,23,70,103,-14,4,6,1,1,12,6,1,8.6,,8.6,,24:06,,,,
5,2001-02,TBL,24,82,106,-22,4,5,2,3,10,13,0,5.8,,5.8,,23:39,,,,
6,2002-03,TBL,25,75,78,-7,3,0,0,0,10,9,0,2.2,,2.2,,21:24,,,,
7,2003-04,TBL,26,81,85,9,8,8,1,4,14,4,0,11.1,,11.1,,21:09,,,,
8,2005-06,TBL,28,76,96,-12,1,4,0,3,9,22,2,3.2,,3.2,,22:25,,,,
9,2006-07,TOR,29,61,48,7,3,4,0,1,10,4,0,7.2,,7.2,,21:19,,,,
10,2007-08,TOR,30,72,116,5,5,6,0,4,16,12,1,8.1,278,8.1,278,23:55,121,166,34,48
11,2008-09,TOR,31,82,94,-15,5,9,0,4,13,13,0,7.6,368,7.6,368,22:03,89,133,23,50
12,2009-10,ATL,32,76,66,0,4,2,0,1,23,8,1,3.8,292,3.8,292,22:38,94,111,55,37
13,2010-11,TBL,33,79,62,2,3,1,0,2,15,4,0,5.1,196,5.1,196,19:14,90,115,19,35
14,2011-12,TOT,34,69,74,-2,3,0,0,1,12,0,0,4.0,158,4.0,158,19:16,130,119,18,26
15,2011-12,TBL,34,52,59,1,3,0,0,1,8,0,0,5.4,116,5.4,116,19:55,95,100,17,19
16,2011-12,PHI,34,17,15,-3,0,0,0,0,4,0,0,0.0,42,0.0,42,17:19,35,19,1,7
