,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,NJD,22,2,0,1,0,0,0,0,0,0,0,0.0,,0.0,,16:04,,,,
2,2000-01,TOT,23,33,40,4,1,0,0,0,7,1,1,3.3,,3.3,,17:56,,,,
3,2000-01,NJD,23,16,29,0,0,0,0,0,2,0,0,0.0,,0.0,,14:52,,,,
4,2000-01,MIN,23,17,11,4,1,0,0,0,5,1,1,6.3,,6.3,,20:49,,,,
5,2001-02,MIN,24,68,68,-16,3,0,0,1,8,2,0,4.5,,4.5,,21:25,,,,
6,2002-03,MIN,25,69,84,13,1,0,1,1,12,0,0,3.0,,3.0,,21:28,,,,
7,2003-04,MIN,26,70,83,12,1,0,0,0,9,2,2,1.7,,1.7,,22:36,,,,
8,2005-06,TOT,28,80,113,19,2,0,0,0,8,0,0,3.4,,3.4,,20:51,,,,
9,2005-06,MIN,28,64,87,15,2,0,0,0,6,0,0,4.2,,4.2,,20:52,,,,
10,2005-06,DAL,28,16,26,4,0,0,0,0,2,0,0,0.0,,0.0,,20:46,,,,
11,2006-07,VAN,29,62,45,1,1,0,0,0,9,0,1,1.9,,1.9,,22:13,,,,
12,2007-08,VAN,30,72,81,6,2,0,0,1,9,1,0,3.1,141,3.1,141,23:12,49,109,37,41
13,2008-09,VAN,31,82,59,29,3,0,0,1,20,0,0,3.4,207,3.4,207,22:55,81,125,39,58
14,2009-10,VAN,32,48,48,13,4,0,0,1,7,0,1,8.5,104,8.5,104,22:37,32,79,23,27
15,2010-11,LAK,33,57,21,4,4,0,1,1,5,0,0,8.5,152,8.5,152,21:49,35,85,12,47
16,2011-12,LAK,34,76,44,20,5,0,0,2,11,5,3,4.8,239,4.8,239,22:14,74,136,21,55
17,2013-14,LAK,36,76,58,14,1,0,0,0,9,2,0,1.4,177,1.4,177,20:20,102,128,10,56
18,2014-15,FLA,37,66,25,1,3,0,0,0,4,0,1,3.8,183,3.8,183,21:41,99,144,17,34
19,2015-16,FLA,38,46,18,-2,1,0,0,1,6,0,0,3.0,77,3.0,77,19:56,68,70,6,18
