,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1997-98,SJS,20,56,66,8,4,2,0,2,5,2,0,8.3,,8.3,,</td>,,,,
2,1998-99,SJS,21,25,38,5,1,2,0,0,1,0,0,6.8,,6.8,,15:56,,,,
3,1999-00,TBL,22,34,33,-11,2,0,0,0,6,3,0,4.3,,4.3,,20:28,,,,
4,2000-01,TBL,23,64,76,-8,1,2,1,1,13,3,0,4.3,,4.3,,18:39,,,,
5,2001-02,TOT,24,47,31,-5,0,1,0,0,3,1,0,1.6,,1.6,,15:57,,,,
6,2001-02,TBL,24,9,6,-6,0,0,0,0,1,1,0,0.0,,0.0,,19:41,,,,
7,2001-02,NJD,24,38,25,1,0,1,0,0,2,0,0,2.1,,2.1,,15:04,,,,
8,2002-03,TOT,25,67,36,-8,2,2,0,0,4,6,3,3.5,,3.5,,21:37,,,,
9,2002-03,NJD,25,1,2,-1,0,0,0,0,0,1,0,</td,,</td,,20:03,,,,
10,2002-03,MIN,25,66,34,-7,2,2,0,0,4,5,3,3.5,,3.5,,21:38,,,,
11,2003-04,MIN,26,65,48,4,4,4,0,1,9,4,0,7.7,,7.7,,20:22,,,,
12,2005-06,MIN,28,57,50,-12,3,4,0,1,7,4,0,8.8,,8.8,,18:53,,,,
13,2006-07,CGY,29,49,30,-2,1,0,0,0,5,0,0,2.8,,2.8,,13:49,,,,
14,2007-08,CHI,30,32,38,-11,1,1,0,0,2,1,0,5.9,68,5.9,68,14:58,29,35,6,10
