,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,COL,29,1193,1375,46.5,-4.4,942,1042,47.5,-5.0,9.0,90.7,99.8,46.2,53.8
2,2008-09,COL,30,1134,1499,43.1,-7.0,846,1100,43.5,-8.4,7.1,91.2,98.3,39.9,60.1
3,2009-10,COL,31,1101,1458,43.0,-5.3,861,1098,44.0,-6.2,9.2,92.6,101.,42.2,57.8
4,2010-11,TOT,32,1221,1209,50.2,1.0,908,877,50.9,2.4,7.3,92.3,99.6,48.2,51.8
5,2010-11,COL,32,296,332,47.1,0.9,243,242,50.1,2.8,9.2,90.6,99.8,45.4,54.6
6,2010-11,WSH,32,925,877,51.3,0.9,665,635,51.2,2.1,6.6,93.1,99.7,49.2,50.8
7,2011-12,CGY,33,1070,1352,44.2,-6.4,799,1012,44.1,-5.1,8.8,91.1,99.9,48.7,51.3
8,2012-13,TOT,34,423,505,45.6,-4.1,299,372,44.6,-5.8,5.7,90.0,95.7,44.6,55.4
9,2012-13,NSH,34,353,430,45.1,-2.2,250,316,44.2,-4.5,6.1,90.2,96.3,43.2,56.8
10,2012-13,SJS,34,70,75,48.3,-8.2,49,56,46.7,-8.8,3.4,88.6,92.0,53.5,46.5
11,2013-14,SJS,35,825,840,49.5,-6.2,633,619,50.6,-6.7,8.9,90.2,99.1,48.2,51.8
12,2014-15,SJS,36,758,839,47.5,-4.7,558,619,47.4,-4.8,7.8,92.7,100.,52.1,47.9
