,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,TOR,20,8,6,-1,1,0,0,0,0,0,0,14.3,,14.3,,11:33,,,,
2,2000-01,TOT,21,26,20,0,0,0,0,0,2,0,0,0.0,,0.0,,7:57,,,,
3,2000-01,TOR,21,16,14,3,0,0,0,0,2,0,0,0.0,,0.0,,9:01,,,,
4,2000-01,LAK,21,10,6,-3,0,0,0,0,0,0,0,0.0,,0.0,,6:14,,,,
5,2001-02,LAK,22,18,57,1,1,0,0,0,1,0,0,10.0,,10.0,,7:11,,,,
6,2002-03,BUF,23,79,146,-4,5,0,1,1,11,0,0,7.2,,7.2,,10:37,,,,
7,2003-04,BUF,24,81,146,-3,5,1,0,1,14,0,0,7.3,,7.3,,9:38,,,,
8,2005-06,BUF,26,40,47,-2,2,0,0,0,5,0,0,5.0,,5.0,,7:59,,,,
9,2006-07,BUF,27,82,128,-1,2,0,0,0,9,0,0,2.7,,2.7,,7:33,,,,
10,2007-08,BUF,28,72,66,-2,5,0,0,2,12,0,0,8.1,99,8.1,99,8:52,110,15,12,16
11,2008-09,BUF,29,75,95,4,8,0,0,1,11,0,0,10.7,132,10.7,132,10:35,107,20,19,22
12,2009-10,BUF,30,69,73,-2,6,0,0,0,7,1,0,9.0,104,9.0,104,9:14,93,13,11,18
13,2010-11,NJD,31,65,45,-16,1,0,0,0,3,0,0,1.7,90,1.7,90,9:06,63,16,13,10
