,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CAR,29,1046,927,53.0,-0.4,790,701,53.0,-1.2,10.0,90.8,100.,53.7,46.3
2,2008-09,TOT,30,1008,992,50.4,2.5,764,766,49.9,2.2,8.3,91.8,100.,51.5,48.5
3,2008-09,EDM,30,751,758,49.8,2.3,569,581,49.5,2.2,7.8,91.8,99.6,53.2,46.8
4,2008-09,CAR,30,257,234,52.3,3.0,195,185,51.3,2.0,9.9,91.9,101.,46.0,54.0
5,2009-10,CAR,31,491,599,45.0,-5.8,368,451,44.9,-3.8,8.2,90.4,98.6,51.4,48.6
6,2010-11,CAR,32,1160,1251,48.1,-1.5,855,991,46.3,-2.6,9.7,91.6,101.,49.3,50.7
7,2011-12,MTL,33,1241,1156,51.8,5.0,896,843,51.5,5.5,10.1,91.3,101.,51.5,48.5
8,2012-13,TOT,34,498,576,46.4,-2.9,347,431,44.6,-4.1,9.6,91.3,100.,42.3,57.7
9,2012-13,MTL,34,239,177,57.5,7.8,168,136,55.3,5.8,8.9,90.9,99.8,57.5,42.5
10,2012-13,DAL,34,259,399,39.4,-9.7,179,295,37.8,-10.,10.2,91.5,101.,32.9,67.1
11,2013-14,DAL,35,882,885,49.9,-2.3,648,662,49.5,-2.6,7.2,89.4,96.5,53.7,46.3
12,2014-15,TOT,36,802,778,50.8,-0.4,603,572,51.3,0.0,9.9,91.7,101.,58.1,41.9
13,2014-15,DAL,36,680,685,49.8,-1.3,498,500,49.9,-1.8,10.0,92.3,102.,56.1,43.9
14,2014-15,DET,36,122,93,56.7,5.3,105,72,59.3,10.2,9.5,87.9,97.4,68.1,31.9
