,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,PIT,29,785,961,45.0,-0.7,608,712,46.1,-1.1,9.4,92.5,101.,43.2,56.8
2,2008-09,PIT,30,1049,1226,46.1,-2.9,803,889,47.5,-2.9,10.6,93.3,103.,44.1,55.9
3,2009-10,LAK,31,960,995,49.1,-2.1,764,758,50.2,-1.6,9.0,93.0,101.,46.1,53.9
4,2010-11,LAK,32,1261,1317,48.9,-5.2,963,998,49.1,-3.9,8.1,92.9,101.,49.6,50.4
5,2011-12,LAK,33,1359,1229,52.5,-3.3,1026,974,51.3,-4.2,6.0,92.3,98.3,47.6,52.4
6,2012-13,LAK,34,799,784,50.5,-8.9,611,608,50.1,-8.8,8.8,89.7,98.5,48.4,51.6
7,2013-14,PIT,35,688,881,43.8,-7.5,506,639,44.2,-7.2,7.3,92.0,99.3,50.4,49.6
8,2014-15,PIT,36,1129,1073,51.3,-2.7,843,782,51.9,-1.9,7.3,93.2,100.,54.2,45.8
9,2015-16,TOT,37,726,817,47.1,-5.4,560,602,48.2,-3.7,8.6,93.2,101.,52.9,47.1
10,2015-16,PIT,37,311,356,46.6,-1.9,238,258,48.0,0.3,8.3,93.5,101.,52.0,48.0
11,2015-16,CHI,37,140,172,44.9,-6.2,107,130,45.1,-5.5,3.5,91.8,95.3,59.6,40.4
12,2015-16,LAK,37,275,289,48.8,-9.7,215,214,50.1,-8.1,11.9,93.8,105.,50.5,49.5
