,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,BUF,19,4,4,0,0,0,0,0,0,0,0,0.0,,0.0,,16:53,,,,
2,2000-01,BUF,20,79,38,-2,2,2,0,0,12,6,0,4.5,,4.5,,19:50,,,,
3,2001-02,BUF,21,58,26,-6,2,0,0,0,6,5,0,3.0,,3.0,,18:03,,,,
4,2002-03,BUF,22,65,57,-7,4,3,1,0,11,1,1,9.6,,9.6,,21:41,,,,
5,2003-04,BUF,23,77,42,0,7,2,1,4,11,13,0,8.5,,8.5,,23:06,,,,
6,2005-06,BUF,25,55,54,14,2,0,0,0,11,5,0,4.3,,4.3,,16:45,,,,
7,2006-07,BUF,26,82,36,19,6,0,1,0,19,3,0,8.1,,8.1,,19:31,,,,
8,2007-08,BUF,27,46,32,-7,0,1,0,0,5,2,0,1.7,114,1.7,114,17:20,24,52,9,25
9,2008-09,TOT,28,73,32,-9,1,1,0,0,13,2,0,3.0,163,3.0,163,17:40,79,73,29,33
10,2008-09,NYR,28,58,26,-7,1,0,0,0,12,0,0,2.0,119,2.0,119,17:01,61,59,25,30
11,2008-09,PHX,28,15,6,-2,0,1,0,0,1,2,0,6.3,44,6.3,44,20:12,18,14,4,3
