,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,COL,20,80,20,5,1,2,0,0,12,1,0,4.5,,4.5,,18:15,,,,
2,2000-01,COL,21,82,38,8,5,3,0,2,11,6,0,7.4,,7.4,,20:41,,,,
3,2001-02,COL,22,82,42,-3,5,5,0,1,9,11,1,10.0,,10.0,,22:18,,,,
4,2002-03,COL,23,81,68,11,2,2,0,0,15,6,0,4.3,,4.3,,18:27,,,,
5,2003-04,TOT,24,79,32,5,3,1,0,0,13,8,0,4.8,,4.8,,18:23,,,,
6,2003-04,COL,24,58,30,2,2,0,0,0,10,4,0,3.7,,3.7,,17:21,,,,
7,2003-04,MDA,24,21,2,3,1,1,0,0,3,4,0,6.7,,6.7,,21:14,,,,
8,2005-06,TOT,26,78,46,6,2,3,0,1,6,10,0,5.4,,5.4,,19:09,,,,
9,2005-06,DAL,26,61,36,6,1,3,0,1,5,6,0,5.1,,5.1,,18:41,,,,
10,2005-06,MIN,26,17,10,0,1,0,0,0,1,4,0,7.1,,7.1,,20:49,,,,
11,2006-07,MIN,27,81,36,9,0,0,0,0,14,1,0,0.0,,0.0,,20:14,,,,
12,2007-08,MIN,28,80,26,-16,3,0,0,1,8,0,0,4.8,132,4.8,132,20:29,71,101,15,49
13,2008-09,MIN,29,81,10,-12,4,0,0,0,11,0,1,7.3,108,7.3,108,19:58,57,126,11,40
14,2009-10,TOT,30,52,10,3,2,1,0,0,8,0,0,8.8,74,8.8,74,17:25,43,73,12,19
15,2009-10,PIT,30,33,6,-4,2,1,0,0,5,0,0,13.0,54,13.0,54,16:43,26,49,6,11
16,2009-10,NJD,30,19,4,7,0,0,0,0,3,0,0,0.0,20,0.0,20,18:37,17,24,6,8
