,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NSH,26,1032,882,53.9,3.9,799,692,53.6,3.2,8.8,91.0,99.8,49.6,50.4
2,2008-09,NSH,27,962,879,52.3,3.2,728,688,51.4,2.4,8.3,90.1,98.4,52.7,47.3
3,2009-10,NSH,28,1092,901,54.8,4.0,833,710,54.0,2.7,7.9,90.2,98.1,45.9,54.1
4,2010-11,NSH,29,896,856,51.1,2.5,678,676,50.1,1.6,8.8,93.9,102.,46.9,53.1
5,2011-12,NSH,30,879,1026,46.1,-2.4,662,771,46.2,-3.4,11.3,92.4,103.,42.2,57.8
6,2012-13,TOT,31,516,575,47.3,-0.8,371,407,47.7,-1.4,8.3,90.9,99.1,43.8,56.2
7,2012-13,NSH,31,436,466,48.3,1.1,313,329,48.8,0.3,7.9,90.3,98.2,44.8,55.2
8,2012-13,WSH,31,80,109,42.3,-7.8,58,78,42.6,-8.0,10.0,93.3,103.,38.5,61.5
9,2013-14,TOT,32,749,754,49.8,1.4,570,568,50.1,2.1,8.7,93.3,102.,50.2,49.8
10,2013-14,WSH,32,562,592,48.7,1.3,434,445,49.4,2.5,8.8,92.4,101.,49.7,50.3
11,2013-14,PHX,32,187,162,53.6,1.7,136,123,52.5,0.4,8.4,96.6,105.,51.8,48.2
12,2014-15,ARI,33,1078,960,52.9,5.7,772,714,52.0,5.2,7.6,89.6,97.2,50.1,49.9
