,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,EDM,20,41,14,6,5,3,0,1,11,3,0,12.9,,12.9,,11:23,,,,
2,2001-02,EDM,21,82,45,16,25,8,0,5,13,14,0,19.4,,19.4,,17:32,,,,
3,2002-03,EDM,22,69,90,-18,12,8,0,6,22,9,0,11.8,,11.8,,17:51,,,,
4,2003-04,TOT,23,49,28,-6,10,1,1,2,4,7,1,11.9,,11.9,,15:42,,,,
5,2003-04,PHI,23,21,12,2,4,0,0,1,2,3,0,11.1,,11.1,,12:51,,,,
6,2003-04,PHX,23,28,16,-8,6,1,1,1,2,4,1,12.3,,12.3,,17:50,,,,
7,2005-06,PHX,25,80,55,2,20,10,0,4,15,15,0,15.8,,15.8,,16:01,,,,
8,2006-07,TOT,26,65,44,0,13,7,0,3,17,8,0,16.0,,16.0,,15:15,,,,
9,2006-07,PHX,26,24,20,1,3,4,0,1,9,4,0,18.4,,18.4,,16:36,,,,
10,2006-07,OTT,26,41,24,-1,10,3,0,2,8,4,0,14.9,,14.9,,14:27,,,,
11,2007-08,NYI,27,76,87,-21,17,4,0,3,11,17,0,10.8,302,10.8,302,19:11,47,23,47,62
12,2008-09,TOT,28,63,32,-15,8,2,0,1,12,4,1,8.3,189,8.3,189,15:42,39,34,34,37
13,2008-09,NYI,28,41,26,-8,5,2,0,0,10,2,1,8.8,126,8.8,126,16:28,27,22,26,31
14,2008-09,OTT,28,22,6,-7,3,0,0,1,2,2,0,7.3,63,7.3,63,14:17,12,12,8,6
15,2009-10,EDM,29,43,30,-9,8,5,0,0,3,5,0,13.4,144,13.4,144,14:14,18,28,15,22
16,2010-11,PIT,30,21,18,-4,1,0,0,0,3,2,0,4.0,39,4.0,39,11:49,10,5,2,3
