,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,NYI,18,81,44,-25,11,2,1,1,16,4,0,12.3,,12.3,,16:18,,,,
2,2000-01,NYI,19,82,42,-14,5,5,0,0,16,14,1,5.8,,5.8,,20:02,,,,
3,2001-02,BUF,20,82,34,4,7,3,0,3,21,14,0,7.9,,7.9,,16:58,,,,
4,2002-03,BUF,21,80,32,-28,6,6,0,2,5,8,0,7.5,,7.5,,15:00,,,,
5,2005-06,BUF,24,63,28,5,9,7,0,3,20,16,3,16.2,,16.2,,18:00,,,,
6,2006-07,BUF,25,2,2,1,1,0,0,0,0,0,0,50.0,,50.0,,13:07,,,,
7,2007-08,BUF,26,48,8,4,3,3,1,3,20,12,1,6.3,182,6.3,182,18:41,18,36,16,33
8,2008-09,BUF,27,48,22,12,12,5,1,5,16,13,0,14.3,214,14.3,214,19:07,17,37,29,38
9,2009-10,BUF,28,73,28,10,9,7,1,5,27,20,1,8.3,333,8.3,333,18:37,23,46,22,48
10,2010-11,BUF,29,68,20,-10,7,6,0,3,16,13,0,8.6,273,8.6,273,16:55,24,53,22,34
11,2011-12,TOR,30,70,40,-14,11,2,0,3,20,3,0,12.5,202,12.5,202,17:00,29,76,32,41
