,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,ATL,20,1,2,-1,0,0,0,0,0,0,0,0.0,,0.0,,13:51,,,,
2,2003-04,ATL,22,12,10,0,0,0,0,0,1,0,0,0.0,,0.0,,6:38,,,,
3,2005-06,ATL,24,11,8,0,0,0,0,0,1,0,0,0.0,,0.0,,6:33,,,,
4,2006-07,ATL,25,4,0,1,0,0,0,0,0,0,0,0.0,,0.0,,4:00,,,,
5,2007-08,CBJ,26,17,8,-2,2,0,0,0,0,0,0,10.5,29,10.5,29,7:47,12,4,7,2
6,2008-09,CBJ,27,1,2,-1,0,0,0,0,0,0,0,0.0,2,0.0,2,7:15,1,0,1,0
7,2009-10,CBJ,28,18,0,3,1,0,0,0,3,0,0,7.1,24,7.1,24,8:42,17,1,6,3
8,2010-11,CBJ,29,63,22,14,8,0,1,1,12,1,1,11.8,144,11.8,144,10:51,159,26,33,13
9,2011-12,CBJ,30,66,40,4,4,1,2,2,6,0,1,11.5,94,11.5,94,10:30,189,19,26,10
10,2012-13,CBJ,31,43,36,1,3,0,0,0,5,0,0,9.1,60,9.1,60,10:20,122,19,12,5
11,2013-14,CBJ,32,71,47,0,7,0,2,0,8,0,1,12.9,132,12.9,132,11:16,237,32,22,15
12,2014-15,FLA,33,82,45,-17,4,1,0,0,6,0,0,6.9,124,6.9,124,12:27,273,51,26,12
13,2015-16,FLA,34,64,36,7,6,0,0,3,6,0,1,7.6,126,7.6,126,13:09,154,38,27,13
14,2016-17,FLA,35,23,9,5,2,0,0,0,2,0,1,7.1,47,7.1,47,12:29,56,13,8,5
