,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1999-00,CAR,19,31,14,-4,1,3,0,0,0,0,0,14.3,,14.3,,12:53,,,,
2,2000-01,CAR,20,74,42,-9,2,5,0,1,11,11,0,5.4,,5.4,,17:55,,,,
3,2001-02,CAR,21,78,35,-13,1,0,0,0,10,5,0,0.9,,0.9,,18:27,,,,
4,2002-03,CAR,22,68,24,-27,1,2,0,0,4,6,0,2.9,,2.9,,18:12,,,,
5,2003-04,PHX,23,45,22,4,3,2,0,2,3,4,0,5.7,,5.7,,23:02,,,,
6,2005-06,TOT,25,75,56,-5,4,0,0,1,11,5,0,3.9,,3.9,,20:25,,,,
7,2005-06,PHX,25,21,8,-5,0,0,0,0,4,0,0,0.0,,0.0,,21:08,,,,
8,2005-06,BOS,25,54,48,0,4,0,0,1,7,5,0,4.9,,4.9,,20:08,,,,
9,2006-07,CAR,26,60,44,5,3,2,0,0,8,4,0,6.0,,6.0,,17:48,,,,
10,2007-08,CAR,27,18,8,2,1,0,0,0,2,0,0,8.3,28,8.3,28,11:59,8,13,2,7
