,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DET,27,989,706,58.3,-3.1,811,525,60.7,0.1,9.0,92.5,101.,60.6,39.4
2,2008-09,DET,28,1417,1017,58.2,1.6,1105,800,58.0,2.9,8.2,88.7,96.9,54.0,46.0
3,2009-10,DET,29,808,669,54.7,0.0,620,544,53.3,-1.0,6.9,93.1,100.,54.0,46.0
4,2010-11,DET,30,1368,1140,54.5,0.4,1074,877,55.0,1.8,7.5,92.1,99.7,50.6,49.4
5,2011-12,DET,31,1264,1142,52.5,-4.0,963,860,52.8,-3.8,8.7,90.8,99.5,53.3,46.7
6,2012-13,DET,32,812,685,54.2,1.8,608,516,54.1,1.7,8.1,90.9,99.0,54.7,45.3
7,2013-14,DET,33,1286,1173,52.3,-0.7,993,908,52.2,-0.3,9.5,90.6,100.,51.5,48.5
8,2014-15,DET,34,1219,1200,50.4,-4.9,908,949,48.9,-5.4,8.5,91.6,100.,51.9,48.1
9,2015-16,DET,35,943,986,48.9,-3.4,711,777,47.8,-2.8,7.6,90.4,98.0,53.9,46.1
10,2016-17,DET,36,117,156,42.9,-3.4,87,120,42.0,-3.0,8.8,90.0,98.8,51.5,48.5
