,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NJD,26,1068,888,54.6,1.7,818,686,54.4,2.4,9.0,94.0,103.,52.0,48.0
2,2008-09,NJD,27,1221,1017,54.6,0.3,938,781,54.6,-0.1,8.0,93.0,101.,49.6,50.4
3,2009-10,NJD,28,344,274,55.7,6.3,264,201,56.8,6.0,10.8,91.7,102.,64.3,35.7
4,2010-11,PIT,29,1352,1101,55.1,3.7,1004,825,54.9,3.3,7.7,91.8,99.5,51.3,48.7
5,2011-12,PIT,30,1441,1141,55.8,1.4,1089,850,56.2,1.2,8.5,89.8,98.3,53.9,46.1
6,2012-13,PIT,31,588,593,49.8,-2.1,436,433,50.2,-4.2,11.4,93.0,104.,46.8,53.2
7,2013-14,PIT,32,596,608,49.5,-1.9,461,426,52.0,-0.9,9.1,88.4,97.5,45.9,54.1
8,2014-15,PIT,33,1288,1138,53.1,-0.6,969,827,54.0,0.3,8.2,93.2,101.,52.1,47.9
9,2015-16,SJS,34,1343,1277,51.3,-0.2,1003,906,52.5,-0.7,8.5,92.7,101.,47.4,52.6
10,2016-17,SJS,35,424,388,52.2,-0.3,312,290,51.8,-1.8,8.1,91.3,99.4,58.9,41.1
