,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,BUF,20,1,0,0,0,0,0,0,0,0,0,</td,,</td,,5:48,,,,
2,2005-06,BUF,23,78,65,4,9,0,0,0,14,1,0,8.0,,8.0,,12:08,,,,
3,2006-07,BUF,24,54,74,11,6,3,0,0,7,5,1,12.0,,12.0,,13:19,,,,
4,2007-08,BUF,25,82,85,-4,5,5,0,2,22,3,1,7.4,205,7.4,205,17:10,195,48,19,24
5,2008-09,BUF,26,62,108,4,8,3,1,1,12,5,0,9.8,183,9.8,183,16:06,141,39,11,20
6,2009-10,BUF,27,65,82,-7,9,3,0,1,8,2,0,10.8,181,10.8,181,15:45,111,34,17,10
7,2010-11,BUF,28,81,101,7,11,1,0,3,17,1,1,10.3,191,10.3,191,15:08,128,44,22,24
8,2011-12,TOT,29,70,76,-1,7,0,0,3,13,0,1,9.3,127,9.3,127,14:46,114,47,22,26
9,2011-12,BUF,29,56,70,-1,7,0,0,3,9,0,1,11.3,103,11.3,103,15:05,98,40,19,23
10,2011-12,NSH,29,14,6,0,0,0,0,0,4,0,0,0.0,24,0.0,24,13:31,16,7,3,3
11,2012-13,NSH,30,23,20,-1,2,0,0,0,3,0,0,5.7,53,5.7,53,15:13,40,19,10,5
12,2013-14,NSH,31,75,61,-6,10,0,0,0,11,0,0,13.5,110,13.5,110,13:48,122,55,25,20
13,2014-15,NSH,32,73,60,7,4,0,0,1,10,0,0,7.4,102,7.4,102,12:26,143,58,19,10
14,2015-16,NSH,33,63,46,-4,1,0,1,0,3,0,1,4.3,71,4.3,71,11:15,114,33,14,14
