,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,COL,27,4,13,1,0,0,0,0,0,0,0,0.0,7,0.0,7,8:30,8,1,0,1
2,2009-10,COL,28,56,74,1,8,0,1,1,6,0,1,14.3,95,14.3,95,9:16,92,21,15,8
3,2010-11,WSH,29,77,110,-2,8,1,0,3,15,1,0,8.0,188,8.0,188,11:28,165,37,17,10
4,2011-12,WSH,30,78,95,-6,4,0,0,0,4,0,1,4.1,170,4.1,170,12:07,219,52,26,18
5,2012-13,WSH,31,48,73,-6,5,0,0,1,3,0,0,9.3,105,9.3,105,11:43,93,31,15,12
6,2013-14,TOT,32,77,112,-11,4,0,1,1,2,0,0,4.9,160,4.9,160,12:44,180,59,19,14
7,2013-14,NSH,32,44,54,-5,2,0,0,0,2,0,0,3.8,79,3.8,79,11:33,92,28,10,5
8,2013-14,EDM,32,33,58,-6,2,0,1,1,0,0,0,6.1,81,6.1,81,14:19,88,31,9,9
9,2014-15,EDM,33,71,76,-14,7,0,1,0,7,1,0,7.8,172,7.8,172,13:09,220,72,31,15
10,2015-16,EDM,34,68,82,2,4,0,1,0,6,0,1,8.1,118,8.1,118,13:14,175,68,14,20
11,2016-17,EDM,35,5,4,-2,0,0,0,0,1,0,0,0.0,6,0.0,6,11:17,8,7,0,1
