,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,1996-97,CGY,19,82,37,-4,12,8,1,3,17,9,3,12.4,,12.4,,</td>,,,,
2,1997-98,CGY,20,70,29,-10,11,0,2,1,13,5,1,8.4,,8.4,,</td>,,,,
3,1998-99,CGY,21,82,58,1,21,7,0,4,14,9,0,13.3,,13.3,,16:30,,,,
4,1999-00,CGY,22,77,26,0,17,12,0,4,23,11,0,11.3,,11.3,,18:24,,,,
5,2000-01,CGY,23,77,62,-2,21,10,0,4,21,18,1,13.5,,13.5,,19:58,,,,
6,2001-02,CGY,24,82,77,27,35,16,1,7,29,14,1,16.7,,16.7,,22:22,,,,
7,2002-03,CGY,25,75,49,-10,21,11,3,6,23,9,0,11.1,,11.1,,21:26,,,,
8,2003-04,CGY,26,81,84,21,29,8,4,10,18,13,1,15.5,,15.5,,21:18,,,,
9,2005-06,CGY,28,82,86,5,17,17,1,6,16,14,2,11.9,,11.9,,21:42,,,,
10,2006-07,CGY,29,70,40,12,25,13,1,7,35,20,0,14.8,,14.8,,22:04,,,,
11,2007-08,CGY,30,82,83,27,35,15,0,9,30,18,0,14.8,560,14.8,560,21:26,98,10,47,64
12,2008-09,CGY,31,82,37,-2,25,10,0,4,32,22,0,12.1,518,12.1,518,21:37,80,15,35,48
13,2009-10,CGY,32,82,58,-2,22,10,0,5,26,11,0,12.5,485,12.5,485,20:36,86,36,45,54
14,2010-11,CGY,33,82,40,0,29,14,0,6,27,16,0,14.9,518,14.9,518,20:56,103,28,40,70
15,2011-12,CGY,34,82,43,-10,24,8,0,5,24,11,0,12.7,451,12.7,451,20:36,124,43,52,58
16,2012-13,TOT,35,44,31,-5,8,6,0,3,13,6,0,10.4,219,10.4,219,18:49,65,13,18,17
17,2012-13,CGY,35,31,22,-7,7,2,0,2,9,4,0,9.0,164,9.0,164,19:18,56,8,16,16
18,2012-13,PIT,35,13,9,2,1,4,0,1,4,2,0,14.7,55,14.7,55,17:40,9,5,2,1
19,2013-14,BOS,36,78,47,34,26,4,0,8,21,10,0,14.4,395,14.4,395,18:13,142,27,30,29
20,2014-15,COL,37,82,42,0,21,8,0,2,25,5,0,15.3,350,15.3,350,18:08,99,47,31,30
21,2015-16,COL,38,82,41,-22,9,13,0,3,19,6,0,12.1,342,12.1,342,15:52,70,45,22,22
22,2016-17,COL,39,21,31,1,2,1,0,0,1,1,0,6.7,73,6.7,73,15:09,22,5,8,9
