,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2000-01,CBJ,18,8,6,-1,2,0,0,0,0,0,0,20.0,,20.0,,18:25,,,,
2,2001-02,CBJ,19,75,74,-6,7,1,0,0,6,2,0,7.8,,7.8,,18:52,,,,
3,2002-03,CBJ,20,72,71,-22,2,0,0,0,7,6,1,2.2,,2.2,,18:45,,,,
4,2003-04,CBJ,21,47,27,-16,2,0,0,1,6,5,0,2.7,,2.7,,18:19,,,,
5,2005-06,CBJ,23,51,75,-4,4,2,0,1,4,7,2,7.1,,7.1,,21:27,,,,
6,2006-07,CBJ,24,75,105,-13,7,2,0,0,10,3,0,5.7,,5.7,,22:54,,,,
7,2007-08,CBJ,25,82,60,7,3,3,0,1,9,3,0,4.6,247,4.6,247,23:13,107,110,20,17
8,2008-09,CBJ,26,34,38,2,1,0,0,0,6,2,0,3.3,71,3.3,71,20:59,59,49,5,7
9,2009-10,CBJ,27,26,26,-7,2,0,0,1,5,1,0,8.3,55,8.3,55,20:07,39,49,5,7
10,2010-11,TOT,28,61,38,4,4,0,0,0,7,0,0,6.0,139,6.0,139,19:04,61,131,18,9
11,2010-11,CBJ,28,45,26,10,3,0,0,0,7,0,0,6.7,92,6.7,92,19:19,41,97,14,7
12,2010-11,PHX,28,16,12,-6,1,0,0,0,0,0,0,4.5,47,4.5,47,18:24,20,34,4,2
13,2011-12,PHX,29,65,54,13,3,0,0,0,10,0,0,3.4,174,3.4,174,19:22,112,150,13,23
14,2012-13,PHX,30,38,22,0,2,0,0,0,6,0,0,4.5,96,4.5,96,17:38,40,60,4,5
15,2013-14,PHX,31,25,24,-3,1,0,0,0,3,0,0,4.5,47,4.5,47,15:31,41,25,1,4
