,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2001-02,WSH,19,7,2,-3,0,0,0,0,0,0,0,0.0,,0.0,,7:17,,,,
2,2002-03,WSH,20,72,93,7,2,0,0,0,9,0,0,5.3,,5.3,,9:44,,,,
3,2003-04,WSH,21,30,28,-5,2,0,0,0,0,0,0,8.3,,8.3,,10:15,,,,
4,2005-06,WSH,23,76,73,-17,12,0,2,0,16,0,0,16.5,,16.5,,13:44,,,,
5,2006-07,WSH,24,69,78,-9,6,1,0,0,10,0,0,8.0,,8.0,,13:41,,,,
6,2007-08,TOT,25,50,64,-4,1,0,0,0,1,0,0,2.0,78,2.0,78,8:35,67,17,8,8
7,2007-08,WSH,25,5,7,-2,1,0,0,0,0,0,0,33.3,8,33.3,8,6:49,9,1,2,0
8,2007-08,ANA,25,45,57,-2,0,0,0,0,1,0,0,0.0,70,0.0,70,8:47,58,16,6,8
9,2008-09,TOT,26,59,71,1,7,0,1,0,7,0,0,11.9,109,11.9,109,10:55,102,15,10,15
10,2008-09,ANA,26,17,19,6,3,0,0,0,3,0,0,17.6,26,17.6,26,7:12,21,2,3,2
11,2008-09,DAL,26,42,52,-5,4,0,1,0,4,0,0,10.0,83,10.0,83,12:25,81,13,7,13
12,2009-10,DAL,27,46,66,8,5,0,0,0,4,0,0,10.2,72,10.2,72,8:37,88,11,9,6
13,2010-11,DAL,28,51,58,-10,2,0,0,0,2,0,0,6.3,56,6.3,56,7:25,70,9,9,8
