,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NSH,25,1122,1123,50.0,-0.7,876,909,49.1,-1.6,8.7,90.9,99.6,44.9,55.1
2,2008-09,NSH,26,1196,1359,46.8,-4.6,915,1011,47.5,-3.0,7.8,91.7,99.4,41.7,58.3
3,2009-10,NSH,27,1316,1194,52.4,1.1,1000,906,52.5,1.4,8.9,90.6,99.4,46.0,54.0
4,2010-11,VAN,28,1178,990,54.3,1.7,888,753,54.1,2.6,9.8,93.1,102.,50.0,50.0
5,2011-12,VAN,29,1493,1253,54.4,1.8,1087,986,52.4,0.9,9.9,92.9,102.,47.5,52.5
6,2012-13,VAN,30,792,679,53.8,1.8,562,519,52.0,0.9,10.1,92.0,102.,49.4,50.6
7,2013-14,VAN,31,1389,1311,51.4,-1.4,1044,957,52.2,-0.7,8.6,92.3,100.,45.7,54.3
8,2014-15,VAN,32,930,907,50.6,1.4,696,682,50.5,0.2,10.0,90.0,100.,46.8,53.2
9,2015-16,VAN,33,906,898,50.2,2.8,683,711,49.0,2.8,7.5,92.2,99.7,51.1,48.9
10,2016-17,DAL,34,358,362,49.7,3.8,259,254,50.5,3.3,5.5,91.5,97.0,45.1,54.9
