,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,MIN,24,737,697,51.4,2.1,555,552,50.1,1.3,9.0,94.4,103.,40.9,59.1
2,2008-09,MIN,25,1081,1056,50.6,3.4,829,810,50.6,3.1,8.7,90.9,99.6,49.2,50.8
3,2009-10,MIN,26,1072,950,53.0,5.8,805,724,52.6,5.4,9.4,91.0,100.,50.7,49.3
4,2010-11,MIN,27,872,913,48.9,3.6,647,694,48.2,3.9,9.5,92.1,101.,50.2,49.8
5,2011-12,MIN,28,723,845,46.1,1.4,542,633,46.1,0.6,8.9,93.6,102.,47.6,52.4
6,2012-13,MIN,29,737,585,55.7,7.9,551,443,55.4,6.4,7.6,90.5,98.1,62.1,37.9
7,2013-14,MIN,30,973,792,55.1,8.4,728,590,55.2,7.8,8.2,90.0,98.1,59.6,40.4
8,2014-15,MIN,31,1127,957,54.1,4.5,864,707,55.0,4.2,8.4,90.8,99.2,54.9,45.1
9,2015-16,MIN,32,1190,1095,52.1,6.1,879,796,52.5,5.6,9.9,90.5,100.,57.4,42.6
10,2016-17,MIN,33,311,322,49.1,-0.6,224,233,49.0,-0.4,8.4,94.0,102.,38.8,61.2
