,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2002-03,LAK,20,28,22,-4,3,2,0,2,0,3,0,12.5,,12.5,,14:05,,,,
2,2003-04,LAK,21,31,20,1,7,2,0,2,3,3,0,17.0,,17.0,,13:18,,,,
3,2005-06,LAK,23,80,50,-14,11,15,0,4,9,19,1,12.6,,12.6,,16:45,,,,
4,2006-07,LAK,24,81,48,5,18,16,0,5,25,21,0,11.4,,11.4,,18:03,,,,
5,2007-08,LAK,25,63,30,-16,9,10,0,1,19,9,0,9.0,390,9.0,390,18:35,31,14,15,54
6,2008-09,CGY,26,81,44,-2,20,19,0,6,28,15,0,15.3,401,15.3,401,17:33,21,18,32,56
7,2009-10,MTL,27,65,16,7,22,4,0,4,13,11,0,11.9,376,11.9,376,19:31,18,27,34,46
8,2010-11,MTL,28,67,33,2,12,7,0,2,14,14,0,9.8,343,9.8,343,18:29,17,19,23,31
9,2011-12,TOT,29,66,26,-10,17,3,0,4,12,9,0,11.4,281,11.4,281,18:07,17,19,25,39
10,2011-12,MTL,29,38,10,-6,8,1,0,2,8,5,0,8.1,183,8.1,183,17:49,7,9,12,24
11,2011-12,CGY,29,28,16,-4,9,2,0,2,4,4,0,17.2,98,17.2,98,18:30,10,10,13,15
12,2012-13,CGY,30,44,25,-15,8,5,0,3,9,10,0,12.7,192,12.7,192,18:03,20,9,22,15
13,2013-14,CGY,31,63,26,-13,20,6,0,8,11,8,0,13.6,343,13.6,343,19:51,26,29,30,42
14,2014-15,NJD,32,68,28,2,16,9,2,8,13,2,0,17.3,261,17.3,261,18:20,29,19,30,34
15,2015-16,NJD,33,42,18,15,11,3,0,1,17,7,0,13.9,153,13.9,153,19:17,15,13,19,24
16,2016-17,NJD,34,16,12,3,6,1,0,1,4,3,0,15.2,81,15.2,81,17:17,12,3,7,11
