,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,NSH,21,80,57,-12,5,2,0,4,12,6,1,6.1,,6.1,,22:08,,,,
2,2005-06,NSH,23,82,70,11,2,4,1,1,18,12,1,5.2,,5.2,,22:34,,,,
3,2006-07,NSH,24,81,66,8,6,0,0,1,14,0,0,7.1,,7.1,,21:20,,,,
4,2007-08,NSH,25,80,66,-4,3,1,0,1,13,7,3,3.1,264,3.1,264,22:44,162,69,50,43
5,2008-09,NSH,26,82,67,-4,1,1,1,1,17,5,1,2.2,246,2.2,246,22:50,133,113,63,52
6,2009-10,NSH,27,78,49,4,5,0,0,0,18,1,0,4.3,254,4.3,254,21:15,148,95,48,51
7,2010-11,VAN,28,64,34,29,4,2,0,1,12,5,0,5.5,234,5.5,234,22:41,76,89,43,33
8,2011-12,VAN,29,82,46,29,3,1,0,0,21,10,2,2.9,333,2.9,333,23:26,103,99,48,62
9,2012-13,VAN,30,47,12,9,3,0,1,0,14,6,0,6.6,171,6.6,171,23:23,47,63,20,31
10,2013-14,VAN,31,79,26,13,5,0,0,0,14,3,0,3.3,308,3.3,308,23:57,87,130,48,69
11,2014-15,VAN,32,59,44,0,0,1,0,0,20,2,0,1.2,178,1.2,178,21:32,82,71,18,47
12,2015-16,VAN,33,58,28,-2,2,1,0,1,8,2,0,4.2,164,4.2,164,21:25,64,72,24,47
13,2016-17,DAL,34,22,8,-5,0,0,0,0,4,0,1,0.0,67,0.0,67,20:16,28,38,4,10
