,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,TOT,24,461,618,42.7,-2.3,361,468,43.5,-2.8,9.2,90.4,99.6,44.3,55.7
2,2007-08,PIT,24,371,486,43.3,-1.9,289,363,44.3,-2.5,9.1,91.8,100.,43.1,56.9
3,2007-08,ATL,24,90,132,40.5,-3.6,72,105,40.7,-2.4,9.4,85.7,95.1,48.1,51.9
4,2008-09,TOT,25,611,650,48.5,-3.1,473,519,47.7,-4.8,7.7,90.5,98.2,46.5,53.5
5,2008-09,ATL,25,462,514,47.3,-1.7,347,406,46.1,-4.2,7.8,91.2,99.0,42.1,57.9
6,2008-09,ANA,25,149,136,52.3,-4.9,126,113,52.7,-4.6,7.3,88.0,95.3,68.2,31.8
7,2009-10,TOT,26,658,695,48.6,-0.4,490,548,47.2,-2.7,9.4,94.6,103.,55.6,44.4
8,2009-10,ANA,26,68,76,47.2,-0.7,50,63,44.2,-4.1,0.0,92.3,92.3,60.4,39.6
9,2009-10,NYR,26,590,619,48.8,-0.6,440,485,47.6,-2.9,10.5,94.8,105.,55.0,45.0
10,2010-11,NYR,27,532,653,44.9,-7.3,386,476,44.8,-9.3,10.4,93.6,104.,53.3,46.7
11,2011-12,TOT,28,311,438,41.5,-5.1,221,328,40.3,-6.1,5.7,90.9,96.5,49.4,50.6
12,2011-12,NYR,28,102,129,44.2,-2.6,71,100,41.5,-5.5,8.5,94.7,103.,43.6,56.4
13,2011-12,MIN,28,209,309,40.3,-6.2,150,228,39.7,-6.3,4.5,89.2,93.6,52.0,48.0
