,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,TOT,24,104,157,39.8,-8.9,81,112,42.0,-8.6,5.7,84.6,90.3,52.4,47.6
2,2007-08,PHI,24,72,117,38.1,-7.6,53,82,39.3,-7.7,0.0,86.7,86.7,42.6,57.4
3,2007-08,CHI,24,32,40,44.4,-11.,28,30,48.3,-9.6,13.0,77.8,90.8,70.0,30.0
4,2008-09,CHI,25,547,470,53.8,-3.5,399,369,52.0,-5.6,7.9,92.4,100.,63.2,36.8
5,2009-10,CHI,26,468,381,55.1,-3.7,365,285,56.2,-4.4,8.5,92.8,101.,70.0,30.0
6,2010-11,TOT,27,615,729,45.8,-7.3,461,530,46.5,-7.8,7.1,94.5,101.,49.9,50.1
7,2010-11,ATL,27,309,427,42.0,-8.9,223,309,41.9,-10.,9.7,94.5,104.,43.7,56.3
8,2010-11,SJS,27,306,302,50.3,-4.8,238,221,51.9,-4.6,4.5,94.6,99.1,57.5,42.5
9,2011-12,EDM,28,404,524,43.5,-5.7,297,385,43.5,-7.3,7.5,94.1,101.,49.3,50.7
10,2012-13,EDM,29,92,172,34.8,-15.,70,119,37.0,-12.,3.8,93.3,97.1,39.8,60.2
11,2013-14,EDM,30,37,45,45.1,-8.9,29,27,51.8,0.6,5.3,100.,105.,45.5,54.5
