,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,DET,23,89,65,57.8,5.2,76,53,58.9,4.6,3.3,89.1,92.5,66.0,34.0
2,2008-09,DET,24,273,241,53.1,-6.9,197,195,50.3,-7.6,8.0,90.9,98.9,56.4,43.6
3,2009-10,DET,25,830,742,52.8,-2.5,633,589,51.8,-3.1,7.3,89.6,96.9,55.1,44.9
4,2010-11,DET,26,1277,1056,54.7,1.1,1003,860,53.8,0.4,8.3,91.5,99.8,49.3,50.7
5,2011-12,DET,27,965,795,54.8,-0.4,733,612,54.5,-1.1,8.2,93.8,101.,59.0,41.0
6,2012-13,DET,28,746,648,53.5,1.7,558,484,53.6,2.5,8.5,92.2,100.,52.6,47.4
7,2013-14,DET,29,759,711,51.6,-2.1,593,561,51.4,-2.3,9.4,90.8,100.,52.2,47.8
8,2014-15,DET,30,1138,1142,49.9,-5.4,851,897,48.7,-5.5,7.7,91.7,99.3,48.1,51.9
9,2015-16,DET,31,930,975,48.8,-3.9,695,800,46.5,-5.2,8.3,93.1,101.,48.2,51.8
10,2016-17,DET,32,310,329,48.5,4.0,247,266,48.1,3.9,8.7,93.2,101.,41.2,58.8
