,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,EDM,24,516,611,45.8,-3.0,389,466,45.5,-3.3,8.4,92.3,100.,51.9,48.1
2,2008-09,LAK,25,1188,1144,50.9,-2.5,897,850,51.3,-2.1,7.5,92.4,99.9,47.3,52.7
3,2009-10,LAK,26,922,875,51.3,-0.3,703,636,52.5,0.4,7.4,93.0,100.,48.8,51.2
4,2010-11,LAK,27,899,849,51.4,-2.5,658,624,51.3,-1.5,7.1,92.9,100.,48.2,51.8
5,2011-12,LAK,28,1060,867,55.0,-1.3,790,646,55.0,-0.1,6.4,92.1,98.4,47.2,52.8
6,2012-13,LAK,29,54,63,46.2,-10.,44,51,46.3,-9.3,10.3,87.1,97.4,44.8,55.2
7,2013-14,LAK,30,526,371,58.6,-0.7,388,262,59.7,1.1,6.6,93.5,100.,56.0,44.0
8,2014-15,LAK,31,1101,955,53.6,-1.2,815,716,53.2,-0.6,7.2,91.6,98.8,56.6,43.4
9,2015-16,LAK,32,22,31,41.5,-23.,18,23,43.9,-17.,0.0,94.7,94.7,47.4,52.6
10,2016-17,LAK,33,129,142,47.6,-6.7,94,102,48.0,-7.5,6.3,94.4,100.,67.8,32.2
