,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CBJ,23,1019,849,54.6,3.4,796,652,55.0,3.8,8.2,90.3,98.5,53.0,47.0
2,2008-09,CBJ,24,1111,976,53.2,-0.1,845,751,52.9,-0.4,10.1,90.7,100.,52.5,47.5
3,2009-10,CBJ,25,992,1039,48.8,0.0,747,805,48.1,-0.4,10.3,89.9,100.,50.6,49.4
4,2010-11,CBJ,26,1126,1048,51.8,1.1,851,814,51.1,-0.5,9.8,91.1,100.,58.0,42.0
5,2011-12,CBJ,27,1136,1246,47.7,-3.1,855,979,46.6,-4.7,8.3,90.9,99.2,53.3,46.7
6,2012-13,NYR,28,776,642,54.7,4.1,583,463,55.7,3.8,9.5,93.3,102.,59.5,40.5
7,2013-14,NYR,29,1037,864,54.6,1.5,784,658,54.4,1.3,7.3,93.3,100.,54.7,45.3
8,2014-15,NYR,30,1039,1004,50.9,1.5,793,749,51.4,2.2,10.5,92.5,103.,54.9,45.1
9,2015-16,NYR,31,765,821,48.2,0.9,564,594,48.7,0.9,10.8,91.9,102.,59.1,40.9
10,2016-17,NYR,32,267,327,44.9,-1.3,202,231,46.7,-1.5,11.7,89.7,101.,53.2,46.8
