,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CHI,23,749,723,50.9,-1.6,580,568,50.5,-3.0,10.7,91.6,102.,50.0,50.0
2,2008-09,TOT,24,760,545,58.2,2.8,600,425,58.5,2.6,6.6,92.2,98.8,60.6,39.4
3,2008-09,CHI,24,487,325,60.0,2.1,383,255,60.0,1.6,5.9,93.0,98.8,63.1,36.9
4,2008-09,ANA,24,273,220,55.4,2.9,217,170,56.1,3.1,8.0,91.0,99.0,55.6,44.4
5,2009-10,ANA,25,1187,1142,51.0,4.9,934,916,50.5,4.1,7.0,91.7,98.8,48.0,52.0
6,2010-11,TOT,26,1296,1316,49.6,1.4,960,969,49.8,1.3,6.7,91.7,98.4,51.8,48.2
7,2010-11,NYI,26,501,529,48.6,3.8,351,400,46.7,1.2,5.5,88.5,94.0,45.4,54.6
8,2010-11,MTL,26,795,787,50.3,-0.5,609,569,51.7,1.0,7.5,93.6,101.,56.6,43.4
9,2011-12,CBJ,27,777,912,46.0,-4.4,596,702,45.9,-4.3,7.3,91.3,98.6,48.9,51.1
10,2012-13,CBJ,28,487,482,50.3,1.7,340,374,47.6,-0.9,8.6,92.1,100.,54.1,45.9
11,2013-14,CBJ,29,1212,1039,53.8,4.1,898,780,53.5,3.9,8.4,91.8,100.,50.5,49.5
12,2014-15,TOT,30,1106,1086,50.5,3.1,819,826,49.8,1.9,7.7,90.0,97.7,52.3,47.7
13,2014-15,CBJ,30,883,916,49.1,3.2,644,695,48.1,1.7,8.0,90.3,98.3,53.5,46.5
14,2014-15,ANA,30,223,170,56.7,2.5,175,131,57.2,2.4,6.4,88.5,94.9,47.3,52.7
15,2015-16,CAR,31,0,0,</td,</td,0,0,</td,</td,</td,</td,</td,</td,</td
