,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,PIT,22,33,34,-3,4,2,0,0,4,3,0,7.1,,7.1,,14:17,,,,
2,2006-07,PIT,23,61,26,-3,12,6,0,1,10,5,0,13.5,,13.5,,11:38,,,,
3,2007-08,TOT,24,59,30,-10,9,2,0,0,7,6,0,8.3,233,8.3,233,13:21,35,2,20,14
4,2007-08,PIT,24,49,28,-3,7,2,0,0,7,4,0,8.3,190,8.3,190,12:37,28,2,14,11
5,2007-08,ATL,24,10,2,-7,2,0,0,0,0,2,0,8.7,43,8.7,43,16:57,7,0,6,3
6,2008-09,TOT,25,64,20,-9,5,2,0,0,16,5,0,5.7,210,5.7,210,13:39,19,6,26,12
7,2008-09,ATL,25,47,14,-7,4,1,0,0,11,3,0,5.6,167,5.6,167,14:16,17,6,23,8
8,2008-09,ANA,25,17,6,-2,1,1,0,0,5,2,0,6.3,43,6.3,43,11:55,2,0,3,4
9,2009-10,TOT,26,58,26,11,7,1,0,1,15,3,0,9.3,172,9.3,172,14:51,52,16,22,10
10,2009-10,ANA,26,9,2,-3,0,0,0,0,0,0,0,0.0,19,0.0,19,11:27,6,3,2,2
11,2009-10,NYR,26,49,24,14,7,1,0,1,15,3,0,10.4,153,10.4,153,15:28,46,13,20,8
12,2010-11,NYR,27,63,18,3,7,4,0,1,13,3,0,12.8,166,12.8,166,12:46,34,11,28,17
13,2011-12,TOT,28,49,8,-13,4,3,0,1,4,1,0,15.9,89,15.9,89,10:24,26,4,11,16
14,2011-12,NYR,28,20,2,0,0,1,0,0,3,1,0,10.0,21,10.0,21,8:07,12,1,4,4
15,2011-12,MIN,28,29,6,-13,4,2,0,1,1,0,0,17.6,68,17.6,68,11:59,14,3,7,12
