,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,PHI,22,25,18,0,3,0,0,0,5,0,0,14.3,,14.3,,7:24,,,,
2,2006-07,PHI,23,63,<str,-13,6,0,0,0,5,0,0,12.5,,12.5,,8:14,,,,
3,2007-08,TOT,24,32,89,-9,0,0,0,0,2,0,0,0.0,28,0.0,28,5:48,32,0,2,4
4,2007-08,PHI,24,23,62,-8,0,0,0,0,0,0,0,0.0,19,0.0,19,5:29,25,0,2,4
5,2007-08,CHI,24,9,27,-1,0,0,0,0,2,0,0,0.0,9,0.0,9,6:37,7,0,0,0
6,2008-09,CHI,25,75,161,1,11,0,0,0,4,0,0,13.8,133,13.8,133,8:31,95,11,12,8
7,2009-10,CHI,26,60,120,9,7,0,0,2,9,0,0,10.3,113,10.3,113,8:20,51,6,12,11
8,2010-11,TOT,27,68,120,4,7,0,0,1,10,0,0,8.3,137,8.3,137,10:38,87,28,21,26
9,2010-11,ATL,27,34,77,4,3,0,0,1,7,0,0,7.3,72,7.3,72,12:15,48,9,13,10
10,2010-11,SJS,27,34,43,0,4,0,0,0,3,0,0,9.3,65,9.3,65,9:02,39,19,8,16
11,2011-12,EDM,28,63,107,-1,8,0,0,3,5,0,0,11.6,121,11.6,121,8:32,73,17,13,17
12,2012-13,EDM,29,14,25,-4,1,0,0,0,1,0,0,7.1,23,7.1,23,9:40,40,6,3,2
13,2013-14,EDM,30,7,2,1,0,0,0,0,1,0,0,0.0,11,0.0,11,7:13,9,2,2,2
