,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,DET,23,8,4,-3,0,1,0,0,0,0,0,5.3,29,5.3,29,15:58,9,3,0,9
2,2008-09,DET,24,19,15,-1,1,0,0,0,3,0,0,4.0,46,4.0,46,17:40,28,12,0,9
3,2009-10,DET,25,62,44,-15,3,0,1,1,9,0,0,7.3,142,7.3,142,16:42,93,47,13,50
4,2010-11,DET,26,74,87,8,2,1,0,0,12,0,0,3.4,176,3.4,176,18:50,107,37,16,56
5,2011-12,DET,27,69,47,16,1,0,0,0,10,0,0,1.6,135,1.6,135,17:05,128,43,9,42
6,2012-13,DET,28,45,29,6,3,0,0,1,10,0,0,8.8,90,8.8,90,21:19,67,40,8,30
7,2013-14,DET,29,48,34,2,1,0,0,0,9,0,1,1.5,124,1.5,124,21:15,91,46,14,35
8,2014-15,DET,30,82,70,-5,3,0,0,0,11,0,1,3.7,179,3.7,179,19:35,114,55,13,58
9,2015-16,DET,31,71,56,2,3,0,0,0,12,0,0,4.4,154,4.4,154,18:32,121,48,14,61
10,2016-17,DET,32,23,39,2,0,0,0,0,4,0,0,0.0,40,0.0,40,18:05,32,17,1,10
