,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,WSH,21,14,0,-7,0,0,0,0,1,1,0,0.0,,0.0,,6:45,,,,
2,2006-07,WSH,22,29,8,-6,3,1,0,1,4,0,0,7.7,,7.7,,11:38,,,,
3,2007-08,WSH,23,75,18,-7,9,1,0,1,12,8,0,9.3,190,9.3,190,12:37,26,11,29,21
4,2008-09,WSH,24,73,20,-3,12,7,0,4,14,4,0,14.5,211,14.5,211,15:05,22,17,53,34
5,2009-10,WSH,25,69,28,9,16,7,0,4,15,13,0,19.0,240,19.0,240,16:02,36,17,31,25
6,2010-11,TOT,26,45,18,2,9,3,0,2,16,3,0,12.2,167,12.2,167,16:22,15,14,25,21
7,2010-11,WSH,26,23,10,3,4,0,0,1,5,1,0,9.1,68,9.1,68,14:20,9,6,9,8
8,2010-11,COL,26,22,8,-1,5,3,0,1,11,2,0,14.8,99,14.8,99,18:28,6,8,16,13
9,2011-12,FLA,27,82,26,-7,21,6,0,4,18,16,0,12.4,416,12.4,416,19:06,32,33,56,40
10,2012-13,FLA,28,48,16,-10,9,2,1,2,12,11,0,9.9,208,9.9,208,18:44,29,10,27,26
11,2013-14,FLA,29,80,22,-18,6,2,0,1,14,5,1,4.3,360,4.3,360,17:07,59,11,30,26
12,2014-15,TOT,30,66,12,12,8,0,0,1,18,1,0,6.1,233,6.1,233,14:42,64,15,30,15
13,2014-15,FLA,30,52,8,12,7,0,0,1,13,1,0,6.5,187,6.5,187,14:51,53,15,26,13
14,2014-15,ANA,30,14,4,0,1,0,0,0,5,0,0,4.2,46,4.2,46,14:10,11,0,4,2
15,2015-16,TOT,31,76,32,-8,13,0,1,3,10,1,0,11.4,213,11.4,213,15:13,40,19,38,16
16,2015-16,MTL,31,57,28,-1,9,0,1,3,9,1,0,10.0,169,10.0,169,15:33,30,16,33,11
17,2015-16,CHI,31,19,4,-7,4,0,0,0,1,0,0,17.4,44,17.4,44,14:11,10,3,5,5
