,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,CHI,22,81,79,-11,7,1,1,0,11,1,0,6.7,,6.7,,23:26,,,,
2,2006-07,CHI,23,82,76,0,2,0,0,0,23,4,2,1.6,,1.6,,23:36,,,,
3,2007-08,CHI,24,82,56,30,10,1,1,0,13,5,2,8.1,265,8.1,265,25:34,67,115,52,41
4,2008-09,CHI,25,77,60,33,5,2,1,1,27,9,0,4.6,362,4.6,362,25:34,40,92,50,40
5,2009-10,CHI,26,82,51,21,10,3,1,1,38,13,4,6.6,429,6.6,429,26:36,46,143,45,59
6,2010-11,CHI,27,82,22,-1,3,3,1,1,19,19,0,4.0,401,4.0,401,26:53,45,149,56,83
7,2011-12,CHI,28,74,42,15,3,1,0,1,22,12,2,2.5,378,2.5,378,26:54,45,121,48,50
8,2012-13,CHI,29,47,31,16,1,2,0,0,15,8,1,3.3,184,3.3,184,24:07,19,66,26,29
9,2013-14,CHI,30,79,28,22,3,3,0,3,36,18,1,3.0,405,3.0,405,24:39,36,89,48,70
10,2014-15,CHI,31,80,20,12,7,3,0,2,21,13,1,5.8,369,5.8,369,25:34,16,113,43,63
11,2015-16,CHI,32,67,26,13,5,4,0,4,19,14,1,6.9,287,6.9,287,25:14,16,116,22,46
12,2016-17,CHI,33,24,6,8,0,0,0,0,12,3,0,0.0,118,0.0,118,26:06,9,25,7,18
