,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,CHI,21,19,36,0,2,0,0,0,4,1,0,8.0,,8.0,,15:52,,,,
2,2006-07,CHI,22,50,39,3,2,0,0,0,7,1,0,3.6,,3.6,,18:00,,,,
3,2007-08,CHI,23,68,103,12,5,1,1,0,15,4,0,8.5,165,8.5,165,17:00,113,67,11,22
4,2008-09,TOT,24,48,30,9,2,1,0,0,11,10,0,3.4,189,3.4,189,19:51,90,60,14,25
5,2008-09,CHI,24,31,14,6,1,1,0,0,6,5,0,2.9,140,2.9,140,19:15,51,31,8,14
6,2008-09,ANA,24,17,16,3,1,0,0,0,5,5,0,5.3,49,5.3,49,20:57,39,29,6,11
7,2009-10,ANA,25,69,56,-5,1,2,0,0,17,7,3,2.1,288,2.1,288,24:21,129,102,27,49
8,2010-11,TOT,26,75,38,-14,3,7,0,2,19,22,0,6.3,346,6.3,346,22:56,105,119,34,66
9,2010-11,NYI,26,32,18,-18,0,3,0,0,8,10,0,4.2,160,4.2,160,23:15,49,35,17,23
10,2010-11,MTL,26,43,20,4,3,4,0,2,11,12,0,8.0,186,8.0,186,22:43,56,84,17,43
11,2011-12,CBJ,27,48,37,-13,4,2,0,2,11,10,0,6.1,215,6.1,215,24:48,50,74,15,22
12,2012-13,CBJ,28,30,15,-1,1,4,0,0,7,1,1,8.1,137,8.1,137,22:50,53,48,11,15
13,2013-14,CBJ,29,75,61,0,4,3,0,1,19,25,0,4.2,346,4.2,346,22:37,100,73,18,37
14,2014-15,TOT,30,69,44,-13,1,7,0,2,18,8,0,5.4,310,5.4,310,21:11,115,81,12,33
15,2014-15,CBJ,30,56,34,-10,1,7,0,2,14,7,0,6.3,266,6.3,266,21:25,99,69,11,22
16,2014-15,ANA,30,13,10,-3,0,0,0,0,4,1,0,0.0,44,0.0,44,20:13,16,12,1,11
17,2015-16,CAR,31,1,0,0,0,0,0,0,0,0,0,</td,0,</td,0,0:47,1,0,0,0
