,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,CHI,22,706,596,54.2,2.6,562,473,54.3,1.2,7.4,90.5,97.9,54.4,45.6
2,2008-09,CHI,23,850,683,55.4,-1.0,657,535,55.1,-1.4,6.6,94.4,101.,58.8,41.2
3,2009-10,CHI,24,1061,881,54.6,-5.8,807,639,55.8,-6.3,6.2,91.0,97.2,54.7,45.3
4,2010-11,ATL,25,1653,1378,54.5,7.4,1254,1037,54.7,5.5,8.5,90.9,99.4,55.3,44.7
5,2011-12,WPG,26,1383,1197,53.6,5.1,1048,946,52.6,2.3,8.7,89.5,98.2,54.1,45.9
6,2012-13,WPG,27,861,832,50.9,0.0,651,638,50.5,-0.6,9.6,90.8,100.,50.9,49.1
7,2013-14,WPG,28,1412,1341,51.3,-0.5,1051,998,51.3,-1.1,7.7,89.1,96.8,51.7,48.3
8,2014-15,WPG,29,1161,1029,53.0,0.3,880,782,52.9,1.3,8.7,91.8,100.,52.4,47.6
9,2015-16,WPG,30,1660,1386,54.5,5.2,1228,1050,53.9,4.6,9.4,89.9,99.3,52.9,47.1
10,2016-17,WPG,31,477,458,51.0,4.7,351,332,51.4,5.6,10.5,88.4,98.9,43.6,56.4
