,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,BOS,23,941,925,50.4,-1.1,708,723,49.5,-0.2,6.6,93.6,100.,49.8,50.2
2,2008-09,BOS,24,961,987,49.3,-1.8,724,733,49.7,-1.1,9.3,94.4,103.,50.9,49.1
3,2009-10,BOS,25,737,753,49.5,-7.5,562,556,50.3,-6.2,6.9,92.8,99.7,52.9,47.1
4,2010-11,TOT,26,650,705,48.0,-6.9,477,502,48.7,-7.1,8.5,92.2,100.,50.5,49.5
5,2010-11,BOS,26,394,435,47.5,-4.5,291,315,48.0,-5.1,10.8,93.9,104.,43.0,57.0
6,2010-11,ATL,26,256,270,48.7,-10.,186,187,49.9,-9.7,4.9,89.3,94.2,63.5,36.5
7,2011-12,WPG,27,1032,1114,48.1,-5.0,764,803,48.8,-4.9,8.3,91.4,99.7,49.6,50.4
8,2012-13,WPG,28,524,555,48.6,-1.7,364,387,48.5,-2.4,9.5,92.9,102.,48.8,51.3
9,2013-14,WPG,29,1014,1106,47.8,-6.2,750,774,49.2,-5.3,9.4,92.9,102.,46.2,53.8
10,2014-15,WPG,30,1078,1016,51.5,-2.1,765,745,50.7,-2.3,7.4,92.4,99.7,47.9,52.1
11,2015-16,WPG,31,696,806,46.3,-6.7,517,565,47.8,-4.7,6.6,91.7,98.3,50.9,49.1
12,2016-17,WPG,32,64,96,40.0,-6.6,45,58,43.7,-1.3,2.9,100.,102.,47.3,52.7
