,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2003-04,LAK,19,31,16,0,1,0,0,0,4,0,0,2.5,,2.5,,10:29,,,,
2,2005-06,LAK,21,79,80,-10,8,6,0,2,11,3,0,8.8,,8.8,,13:59,,,,
3,2006-07,LAK,22,81,54,-21,4,13,0,1,16,12,1,8.7,,8.7,,18:43,,,,
4,2007-08,LAK,23,78,55,-13,19,12,2,4,15,10,2,15.1,380,15.1,380,20:18,311,23,26,62
5,2008-09,LAK,24,80,64,-15,17,7,0,6,18,11,0,8.2,516,8.2,516,19:24,285,22,37,48
6,2009-10,LAK,25,82,41,-6,17,7,0,3,22,10,0,9.7,440,9.7,440,19:15,283,25,39,63
7,2010-11,LAK,26,82,67,17,21,7,0,2,21,8,0,12.3,420,12.3,420,19:22,300,29,35,67
8,2011-12,LAK,27,82,53,18,12,9,1,6,23,7,2,10.3,396,10.3,396,20:10,291,32,38,53
9,2012-13,LAK,28,46,22,6,10,8,0,1,6,5,0,12.7,251,12.7,251,19:30,156,8,17,27
10,2013-14,LAK,29,79,66,7,14,1,0,2,9,3,0,7.7,350,7.7,350,15:50,246,12,26,41
11,2014-15,LAK,30,82,26,-17,10,1,0,3,11,5,0,5.8,339,5.8,339,16:31,234,23,27,44
12,2015-16,LAK,31,82,30,-5,9,2,0,0,15,1,1,5.0,375,5.0,375,16:10,234,20,40,31
13,2016-17,LAK,32,23,10,-9,1,2,1,1,4,2,0,7.3,95,7.3,95,16:15,57,3,6,8
