,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,MTL,20,1,0,-1,0,0,0,0,0,0,0,</td,,</td,,3:04,,,,
2,2006-07,MTL,21,46,24,-7,5,0,1,2,6,0,0,7.3,,7.3,,11:25,,,,
3,2007-08,MTL,22,53,60,5,7,0,0,0,10,0,1,10.3,103,10.3,103,13:10,101,35,12,21
4,2008-09,MTL,23,79,76,9,12,1,2,2,13,0,0,9.1,260,9.1,260,14:48,130,52,46,32
5,2009-10,MTL,24,76,61,-14,7,0,0,1,7,0,0,6.9,178,6.9,178,12:16,164,36,25,16
6,2010-11,TOT,25,78,80,-14,6,0,0,0,6,0,0,4.7,197,4.7,197,11:38,194,23,20,8
7,2010-11,MTL,25,38,63,-7,5,0,0,0,3,0,0,6.4,112,6.4,112,11:42,104,7,8,4
8,2010-11,ANA,25,21,9,-6,0,0,0,0,3,0,0,0.0,46,0.0,46,11:35,59,8,3,2
9,2010-11,VAN,25,19,8,-1,1,0,0,0,0,0,0,4.3,39,4.3,39,11:32,31,8,9,2
10,2011-12,VAN,26,82,130,-3,9,0,0,0,10,0,0,8.7,168,8.7,168,11:14,244,24,17,9
11,2012-13,VAN,27,48,45,-6,4,0,0,1,6,0,0,7.4,92,7.4,92,12:36,116,18,14,13
12,2013-14,STL,28,71,78,-3,9,0,0,1,6,0,0,11.5,135,11.5,135,11:10,87,18,19,3
13,2014-15,TOT,29,80,32,-15,2,0,0,0,9,0,0,2.3,132,2.3,132,10:43,151,36,11,8
14,2014-15,STL,29,45,16,-2,2,0,0,0,7,0,0,4.7,68,4.7,68,10:21,46,17,10,3
15,2014-15,PIT,29,35,16,-13,0,0,0,0,2,0,0,0.0,64,0.0,64,11:10,105,19,1,5
