,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,ANA,23,26,6,-1,2,0,0,0,3,0,0,6.7,46,6.7,46,11:11,12,11,6,4
2,2008-09,ANA,24,27,17,0,4,0,0,0,5,0,1,8.9,70,8.9,70,12:59,15,11,5,5
3,2009-10,TOT,25,80,12,2,8,1,1,3,6,3,0,9.7,158,9.7,158,12:37,104,51,23,16
4,2009-10,TBL,25,14,2,-3,0,0,0,0,0,0,0,0.0,20,0.0,20,12:14,7,5,4,2
5,2009-10,DET,25,66,10,5,8,1,1,3,6,3,0,10.8,138,10.8,138,12:42,97,46,19,14
6,2010-11,DET,26,67,13,-2,9,0,1,2,8,0,0,11.8,154,11.8,154,11:45,84,58,12,7
7,2011-12,DET,27,80,20,6,14,0,0,4,11,0,0,10.7,194,10.7,194,12:52,79,66,26,9
8,2012-13,DET,28,44,2,-8,3,1,0,2,4,0,0,7.4,88,7.4,88,13:49,81,41,12,8
9,2013-14,DET,29,82,21,-11,7,0,0,1,8,0,0,6.0,180,6.0,180,14:08,122,63,26,9
10,2014-15,DET,30,82,25,-3,4,0,1,0,7,1,0,5.1,150,5.1,150,13:26,119,99,24,11
11,2015-16,DET,31,28,2,-5,1,0,0,0,1,0,0,3.7,44,3.7,44,12:58,39,33,8,6
12,2016-17,DET,32,17,2,-6,2,0,0,1,0,0,0,16.7,18,16.7,18,10:06,19,13,3,1
