,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,NYR,25,5,0,-1,1,0,0,0,1,0,0,25.0,6,25.0,6,13:15,4,8,0,0
2,2009-10,NYR,26,3,2,0,0,0,0,0,0,0,0,0.0,4,0.0,4,12:07,2,0,1,2
3,2010-11,PIT,27,1,0,0,0,0,0,0,0,0,0,0.0,1,0.0,1,16:43,1,2,0,0
4,2011-12,EDM,28,62,24,-16,3,1,0,0,7,10,0,4.1,216,4.1,216,19:57,90,79,31,40
5,2012-13,EDM,29,33,6,8,3,0,0,0,0,1,0,8.3,84,8.3,84,17:27,50,36,8,20
6,2013-14,TOT,30,19,21,-1,0,0,0,0,3,2,0,0.0,26,0.0,26,13:46,20,18,6,6
7,2013-14,EDM,30,16,21,0,0,0,0,0,3,2,0,0.0,23,0.0,23,13:47,16,17,4,6
8,2013-14,BOS,30,3,0,-1,0,0,0,0,0,0,0,0.0,3,0.0,3,13:45,4,1,2,0
9,2014-15,CGY,31,6,0,-1,0,0,0,0,0,0,0,0.0,6,0.0,6,9:40,7,6,1,5
10,2015-16,NSH,32,1,0,0,0,0,0,0,0,0,0,</td,1,</td,1,14:44,0,1,0,0
