,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,STL,22,57,22,-10,9,5,0,2,11,2,0,14.0,,14.0,,14:22,,,,
2,2006-07,STL,23,82,33,-2,19,8,0,4,14,11,0,16.3,,16.3,,14:43,,,,
3,2007-08,STL,24,80,40,0,10,3,0,2,18,7,0,8.0,293,8.0,293,15:53,103,13,37,24
4,2008-09,TOT,25,75,33,-12,11,3,0,1,19,10,1,8.2,335,8.2,335,16:32,107,37,39,31
5,2008-09,STL,25,14,2,-3,3,0,0,1,4,5,1,7.0,81,7.0,81,19:28,20,3,4,4
6,2008-09,TOR,25,61,31,-9,8,3,0,0,15,5,0,8.6,254,8.6,254,15:52,87,34,35,27
7,2009-10,TOT,26,80,26,0,18,9,1,2,13,7,0,13.2,386,13.2,386,17:19,87,25,49,44
8,2009-10,TOR,26,62,18,-10,8,5,1,1,9,7,0,8.5,304,8.5,304,17:53,71,20,43,40
9,2009-10,PHX,26,18,8,10,10,4,0,1,4,0,0,29.2,82,29.2,82,15:22,16,5,6,4
10,2010-11,PHX,27,82,19,4,17,2,0,0,15,4,0,9.5,354,9.5,354,15:15,124,21,46,26
11,2011-12,CGY,28,61,16,-2,12,2,0,2,11,3,0,10.8,232,10.8,232,16:14,55,22,35,27
12,2012-13,CGY,29,47,12,2,5,4,0,2,17,2,4,8.0,191,8.0,191,17:54,47,17,32,24
13,2013-14,TOT,30,73,32,-16,10,0,2,1,15,4,3,6.7,295,6.7,295,18:28,104,21,40,39
14,2013-14,CGY,30,52,28,-21,6,0,2,0,8,4,3,5.6,229,5.6,229,19:24,71,13,32,31
15,2013-14,PIT,30,21,4,5,4,0,0,1,7,0,0,11.8,66,11.8,66,16:08,33,8,8,8
16,2014-15,TOT,31,71,20,8,15,0,0,3,12,1,0,13.0,206,13.0,206,12:43,77,23,17,28
17,2014-15,NYR,31,53,18,7,9,0,0,1,9,0,0,10.5,154,10.5,154,12:26,57,19,11,23
18,2014-15,WPG,31,18,2,1,6,0,0,2,3,1,0,20.7,52,20.7,52,13:33,20,4,6,5
19,2015-16,TOT,32,82,38,4,15,3,1,4,23,9,0,13.0,257,13.0,257,17:57,113,34,31,30
20,2015-16,NJD,32,63,34,3,12,3,1,3,16,9,0,13.3,207,13.3,207,18:44,85,28,25,22
21,2015-16,BOS,32,19,4,1,3,0,0,1,7,0,0,11.5,50,11.5,50,15:20,28,6,6,8
22,2016-17,CAR,33,22,12,2,3,1,0,0,4,2,0,12.5,60,12.5,60,16:03,35,5,14,14
