,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,BOS,21,17,10,-1,1,0,0,0,1,0,0,11.1,,11.1,,17:46,,,,
2,2006-07,BOS,22,15,14,7,0,0,0,0,1,0,0,0.0,,0.0,,10:23,,,,
3,2007-08,BOS,23,82,81,2,4,0,0,1,3,1,0,6.7,135,6.7,135,15:22,99,74,6,26
4,2008-09,BOS,24,82,76,20,5,0,0,1,11,1,0,8.2,164,8.2,164,15:25,91,103,6,16
5,2009-10,BOS,25,56,80,1,2,0,0,0,5,0,0,3.8,122,3.8,122,17:01,103,82,4,18
6,2010-11,TOT,26,54,47,0,2,0,0,1,4,0,0,4.9,109,4.9,109,15:39,107,96,12,23
7,2010-11,BOS,26,31,23,8,1,0,0,1,4,0,0,5.0,58,5.0,58,16:15,56,51,4,14
8,2010-11,ATL,26,23,24,-8,1,0,0,0,0,0,0,4.8,51,4.8,51,14:51,51,45,8,9
9,2011-12,WPG,27,80,98,-4,2,0,1,1,11,0,0,5.0,169,5.0,169,17:12,198,182,7,43
10,2012-13,WPG,28,42,53,5,2,0,0,0,2,0,0,5.0,115,5.0,115,16:42,111,81,5,16
11,2013-14,WPG,29,69,101,11,2,0,0,0,11,0,0,2.7,152,2.7,152,18:38,229,160,6,32
12,2014-15,WPG,30,70,69,5,2,0,0,1,10,0,2,3.9,153,3.9,153,19:13,166,142,13,48
13,2015-16,WPG,31,64,66,-7,1,0,0,0,1,0,1,2.6,105,2.6,105,16:21,162,120,3,43
14,2016-17,WPG,32,10,8,1,0,0,0,0,0,0,0,0.0,9,0.0,9,12:04,14,27,3,6
