,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,NYI,21,501,484,50.9,-3.1,369,356,50.9,-2.3,7.4,92.5,99.9,46.9,53.1
2,2008-09,NYI,22,596,717,45.4,-3.8,416,515,44.7,-4.2,8.1,89.2,97.4,45.4,54.6
3,2009-10,NYI,23,721,760,48.7,-0.3,538,536,50.1,0.2,9.4,88.9,98.4,47.7,52.3
4,2010-11,NYI,24,923,1034,47.2,-0.4,663,746,47.1,-0.8,8.1,89.1,97.3,44.5,55.5
5,2011-12,TOT,25,862,865,49.9,2.2,606,673,47.4,0.6,4.9,93.0,97.9,48.9,51.1
6,2011-12,NYI,25,169,201,45.7,-3.2,113,149,43.1,-6.0,0.0,90.6,90.6,50.0,50.0
7,2011-12,CGY,25,693,664,51.1,3.9,493,524,48.5,2.7,6.0,93.8,99.8,48.7,51.3
8,2012-13,TOT,26,409,431,48.7,-2.0,292,309,48.6,-2.6,8.2,90.2,98.4,50.9,49.1
9,2012-13,CGY,26,297,344,46.3,-3.6,217,249,46.6,-3.9,6.4,89.1,95.6,48.6,51.4
10,2012-13,CBJ,26,112,87,56.3,1.1,75,60,55.6,0.3,12.7,95.0,107.,59.6,40.4
11,2013-14,CBJ,27,607,529,53.4,3.4,440,399,52.4,2.4,7.8,91.3,99.0,46.4,53.6
12,2014-15,PIT,28,878,761,53.6,1.9,637,585,52.1,-0.7,8.0,93.0,101.,55.4,44.6
13,2015-16,COL,29,936,1074,46.6,3.0,703,761,48.0,3.3,7.3,91.3,98.5,37.6,62.4
14,2016-17,COL,30,206,219,48.5,0.1,145,159,47.7,-2.8,6.9,94.2,101.,39.8,60.2
