,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,CGY,24,830,651,56.0,-1.9,633,516,55.1,-1.4,8.4,91.1,99.4,57.1,42.9
2,2009-10,CGY,25,805,671,54.5,0.9,595,476,55.6,3.6,6.5,91.0,97.5,55.2,44.8
3,2010-11,CGY,26,429,341,55.7,3.8,308,234,56.8,2.8,9.5,89.3,98.7,58.8,41.2
4,2011-12,DAL,27,512,530,49.1,-2.8,380,395,49.0,-2.3,7.6,90.9,98.5,51.3,48.7
5,2012-13,BUF,28,187,230,44.8,0.0,136,179,43.2,-1.1,10.7,94.7,105.,45.7,54.3
6,2013-14,WPG,29,736,642,53.4,0.5,550,471,53.9,0.8,7.6,92.6,100.,58.4,41.6
7,2014-15,WPG,30,587,557,51.3,-1.5,425,423,50.1,-1.5,8.8,92.7,101.,54.9,45.1
8,2015-16,TOT,31,276,290,48.8,-3.1,210,221,48.7,-2.5,5.2,89.7,94.9,56.4,43.6
9,2015-16,WPG,31,119,136,46.7,-6.1,89,112,44.3,-6.9,4.8,90.5,95.4,60.0,40.0
10,2015-16,EDM,31,157,154,50.5,0.0,121,109,52.6,1.3,5.5,88.9,94.4,53.5,46.5
