,season,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2007-08,1355,1188,53.3,-1.3,1016,897,53.1,-2.1,9.2,90.2,99.5,53.7,46.3
2,2008-09,1478,1178,55.6,5.8,1139,876,56.5,6.4,8.3,91.5,99.7,51.9,48.1
3,2009-10,1120,1119,50.0,1.5,807,850,48.7,1.2,10.6,90.2,100.,52.1,47.9
4,2010-11,1460,1354,51.9,4.0,1043,1067,49.4,2.1,9.4,90.2,99.6,50.1,49.9
5,2011-12,1388,1386,50.0,2.1,1012,1039,49.3,1.4,8.1,89.5,97.6,50.1,49.9
6,2012-13,845,836,50.3,-1.9,616,631,49.4,-2.2,12.2,89.8,102.,57.5,42.5
7,2013-14,1382,1256,52.4,1.7,998,951,51.2,1.3,8.9,89.2,98.1,63.5,36.5
8,2014-15,1391,1044,57.1,7.2,981,792,55.3,5.1,6.0,89.9,95.9,54.6,45.4
9,2015-16,1384,1109,55.5,6.7,1025,851,54.6,6.1,7.3,91.3,98.6,57.1,42.9
10,2015-16,1119,844,57.0,6.5,830,649,56.1,6.2,7.2,90.4,97.6,57.9,42.1
11,2015-16,265,265,50.0,5.8,195,202,49.1,4.6,7.8,94.0,101.,54.2,45.8
12,2016-17,339,276,55.1,8.2,255,215,54.3,7.7,8.2,93.8,102.,49.1,50.9
