,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,CHI,20,1,0,-1,0,0,0,0,0,0,0,0.0,,0.0,,11:17,,,,
2,2007-08,CHI,21,39,28,6,4,0,0,0,12,1,0,8.2,74,8.2,74,13:43,55,21,18,6
3,2008-09,CHI,22,81,52,19,15,2,2,4,25,1,2,17.1,193,17.1,193,16:27,67,40,35,10
4,2009-10,CHI,23,39,28,5,5,1,0,0,9,1,0,11.5,85,11.5,85,17:22,33,19,27,12
5,2010-11,CHI,24,61,34,11,11,4,0,1,14,8,0,14.7,179,14.7,179,17:39,41,35,55,22
6,2011-12,CHI,25,76,47,0,9,7,3,2,13,5,0,15.1,211,15.1,211,16:30,58,38,53,25
7,2012-13,CHI,26,35,22,-7,6,1,0,1,4,2,1,15.2,75,15.2,75,16:20,43,18,21,16
8,2013-14,TOR,27,23,24,-1,6,1,1,2,3,1,0,24.2,55,24.2,55,14:28,38,13,10,12
9,2014-15,FLA,28,53,48,4,5,0,1,0,12,5,0,7.9,128,7.9,128,16:21,89,21,26,10
10,2015-16,FLA,29,25,16,-2,1,0,0,0,1,3,0,3.8,52,3.8,52,14:06,36,9,5,12
