,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,CHI,21,10,7,-7,0,0,0,0,0,0,0,0.0,,0.0,,9:55,,,,
2,2007-08,CHI,22,2,0,1,0,0,0,0,1,0,0,</td,3,</td,3,11:56,3,0,0,0
3,2008-09,CHI,23,69,50,7,5,4,1,0,12,4,0,7.9,209,7.9,209,15:05,125,19,16,12
4,2009-10,CHI,24,78,66,9,14,7,1,7,12,6,0,19.0,201,19.0,201,16:22,189,46,37,20
5,2010-11,CHI,25,79,38,-2,10,7,0,5,13,6,0,13.9,220,13.9,220,15:06,262,36,24,20
6,2011-12,WSH,26,82,61,-15,15,3,0,5,12,2,1,13.5,248,13.5,248,17:11,247,60,39,22
7,2012-13,WSH,27,47,28,-5,11,7,1,5,5,9,0,17.1,187,17.1,187,18:32,108,23,24,22
8,2013-14,WSH,28,82,92,-6,13,12,0,3,9,9,0,15.5,315,15.5,315,18:51,210,39,34,22
9,2014-15,WSH,29,82,53,11,11,8,2,3,16,6,0,14.5,269,14.5,269,17:31,206,39,44,41
10,2015-16,STL,30,82,62,2,11,7,0,4,18,3,0,12.7,244,12.7,244,16:00,200,52,40,26
11,2016-17,CGY,31,26,16,-6,4,0,1,1,3,2,0,12.5,63,12.5,63,17:22,59,21,9,9
