,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2007-08,MTL,21,36,10,-1,4,0,0,0,6,0,1,11.1,64,11.1,64,11:22,21,18,24,13
2,2008-09,MTL,22,13,5,-6,0,0,0,0,3,0,0,0.0,12,0.0,12,10:18,8,3,3,2
3,2009-10,TOT,23,74,72,-12,5,0,1,1,5,0,1,11.1,91,11.1,91,11:29,63,28,23,27
4,2009-10,MTL,23,19,16,-10,0,0,0,0,0,0,0,0.0,19,0.0,19,8:38,8,3,6,3
5,2009-10,ANA,23,55,56,-2,5,0,1,1,5,0,1,14.0,72,14.0,72,12:29,55,25,17,24
6,2010-11,ANA,24,40,32,1,0,0,0,0,2,0,0,0.0,34,0.0,34,7:00,30,10,8,5
7,2011-12,PHX,25,53,42,2,3,0,0,0,13,0,0,7.0,78,7.0,78,10:32,67,14,13,6
8,2012-13,PHX,26,46,50,1,5,0,0,0,9,0,0,13.5,60,13.5,60,9:42,61,7,14,10
9,2013-14,PHX,27,80,45,3,5,0,0,0,15,0,0,10.9,85,10.9,85,9:43,116,9,30,12
10,2014-15,ARI,28,70,82,-23,3,1,0,0,10,0,0,4.9,128,4.9,128,13:24,130,29,41,22
11,2015-16,ARI,29,70,38,-10,4,0,0,1,7,1,0,8.5,87,8.5,87,10:13,73,13,25,16
