,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2005-06,CAR,20,29,4,0,3,3,0,0,4,1,0,14.0,,14.0,,11:10,,,,
2,2006-07,CAR,21,65,46,1,9,2,0,3,9,1,0,10.1,,10.1,,11:12,,,,
3,2007-08,TOT,22,63,35,13,13,1,0,1,12,4,0,10.7,194,10.7,194,12:46,138,14,19,11
4,2007-08,CAR,22,43,31,9,9,0,0,1,7,2,0,11.8,125,11.8,125,11:45,96,10,9,8
5,2007-08,CHI,22,20,4,4,4,1,0,0,5,2,0,9.1,69,9.1,69,14:58,42,4,10,3
6,2008-09,CHI,23,82,28,26,15,0,0,2,32,1,1,7.7,289,7.7,289,14:24,117,22,43,15
7,2009-10,CHI,24,82,67,2,17,0,0,1,20,1,0,11.5,252,11.5,252,13:42,104,33,35,22
8,2010-11,ATL,25,81,39,-10,18,9,2,2,20,9,1,14.9,333,14.9,333,20:04,68,43,61,43
9,2011-12,WPG,26,82,64,-8,24,4,0,6,14,8,0,10.6,431,10.6,431,19:34,76,25,40,43
10,2012-13,WPG,27,48,22,10,15,3,0,4,25,3,0,14.9,227,14.9,227,19:41,98,26,25,16
11,2013-14,WPG,28,78,57,8,19,4,0,2,21,8,2,12.2,348,12.2,348,19:44,154,42,37,44
12,2014-15,WPG,29,81,72,9,15,9,0,6,27,10,1,10.7,382,10.7,382,20:04,212,38,26,50
13,2015-16,TOT,30,78,45,-13,13,10,2,3,17,4,0,13.8,352,13.8,352,18:55,155,42,29,34
14,2015-16,WPG,30,59,39,-10,8,7,2,2,15,2,0,11.9,284,11.9,284,19:27,126,27,26,29
15,2015-16,CHI,30,19,6,-3,5,3,0,1,2,2,0,21.1,68,21.1,68,17:14,29,15,3,5
16,2016-17,NYI,31,22,14,-4,2,0,0,0,2,0,0,5.6,70,5.6,70,16:38,24,12,13,13
