,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,PIT,20,78,80,2,17,16,0,6,28,24,0,13.6,,13.6,,19:10,,,,
2,2007-08,PIT,21,82,78,16,30,17,0,5,36,23,0,17.3,455,17.3,455,21:19,49,40,69,76
3,2008-09,PIT,22,82,80,17,19,14,2,4,51,27,0,12.1,531,12.1,531,22:31,80,39,94,81
4,2009-10,PIT,23,67,100,-6,13,13,2,7,33,15,1,10.4,460,10.4,460,20:51,58,25,56,49
5,2010-11,PIT,24,43,18,-4,10,5,0,3,13,9,0,8.2,321,8.2,321,19:49,32,11,29,40
6,2011-12,PIT,25,75,70,18,38,12,0,9,37,22,0,14.7,583,14.7,583,21:01,29,41,52,73
7,2012-13,PIT,26,31,36,5,5,4,0,3,10,14,0,9.1,193,9.1,193,19:42,12,11,23,21
8,2013-14,PIT,27,60,62,10,16,7,0,3,26,23,0,12.0,340,12.0,340,20:04,27,18,37,58
9,2014-15,PIT,28,69,60,-2,19,9,0,4,25,17,0,13.2,387,13.2,387,18:58,24,18,45,53
10,2015-16,PIT,29,57,65,1,16,11,0,6,15,16,0,16.7,285,16.7,285,19:22,27,19,54,52
11,2016-17,PIT,30,23,36,0,8,1,0,1,7,6,0,13.8,113,13.8,113,18:50,12,11,15,20
