,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2006-07,EDM,20,77,37,-16,3,0,0,0,6,1,0,5.7,,5.7,,19:14,,,,
2,2007-08,EDM,21,65,58,-15,0,0,0,0,4,0,0,0.0,83,0.0,83,17:52,92,95,18,35
3,2008-09,EDM,22,60,57,-6,0,0,0,0,11,0,0,0.0,67,0.0,67,14:57,93,56,13,37
4,2009-10,EDM,23,51,39,5,1,0,0,0,6,2,0,2.8,64,2.8,64,19:11,79,74,16,30
5,2010-11,EDM,24,78,85,-10,0,0,0,0,9,1,0,0.0,121,0.0,121,20:17,145,118,19,59
6,2011-12,EDM,25,78,44,4,5,0,0,0,9,0,1,10.6,92,10.6,92,20:54,186,184,31,47
7,2012-13,EDM,26,48,55,-1,1,0,0,0,2,0,1,3.3,72,3.3,72,20:19,151,119,8,23
8,2013-14,TOT,27,73,78,-10,2,0,0,0,6,0,0,4.9,86,4.9,86,18:08,193,168,13,38
9,2013-14,EDM,27,17,16,-6,1,0,0,0,1,0,0,16.7,16,16.7,16,17:54,52,34,5,10
10,2013-14,CGY,27,56,62,-4,1,0,0,0,5,0,0,2.9,70,2.9,70,18:12,141,134,8,28
11,2014-15,CGY,28,31,13,-12,0,0,0,0,1,0,0,0.0,42,0.0,42,13:58,51,54,4,10
12,2015-16,CGY,29,22,6,-7,0,0,0,0,0,0,0,0.0,24,0.0,24,11:35,39,33,1,4
