,season,TOT,age,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct,shots_attempted,time_on_ice_avg,hits,blocks,takeaways,giveaways
1,2008-09,BOS,22,81,46,36,16,3,2,3,21,2,1,14.0,234,14.0,234,13:41,47,26,36,26
2,2009-10,BOS,23,82,53,-4,14,3,1,2,14,5,1,11.3,286,11.3,286,15:47,70,32,19,24
3,2010-11,TOT,24,81,46,10,18,0,0,2,21,5,0,10.1,292,10.1,292,16:15,74,47,40,29
4,2010-11,BOS,24,58,32,8,11,0,0,2,14,2,0,10.9,170,10.9,170,15:12,56,35,21,21
5,2010-11,ATL,24,23,14,2,7,0,0,0,7,3,0,9.0,122,9.0,122,18:53,18,12,19,8
6,2011-12,WPG,25,80,55,3,11,6,0,3,38,9,0,8.2,371,8.2,371,19:05,113,46,50,33
7,2012-13,WPG,26,48,28,-3,17,2,0,2,17,5,0,14.7,228,14.7,228,18:48,90,39,28,20
8,2013-14,WPG,27,82,63,4,20,8,0,4,30,11,0,12.4,408,12.4,408,18:41,150,68,36,32
9,2014-15,WPG,28,79,73,26,20,2,4,6,24,10,1,10.7,416,10.7,416,19:40,128,54,35,35
10,2015-16,WPG,29,82,49,8,21,3,2,5,36,14,2,10.2,459,10.2,459,19:47,92,56,38,46
11,2016-17,WPG,30,25,18,3,6,1,1,0,6,3,0,11.3,113,11.3,113,20:40,41,15,12,20
