,season,TOT,age,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct
1,2008-09,DAL,21,863,840,50.7,-2.1,674,635,51.5,-1.4,7.5,89.9,97.4,56.0,44.0
2,2009-10,DAL,22,1025,1097,48.3,-1.8,793,848,48.3,-2.1,9.9,90.2,100.,54.7,45.3
3,2010-11,TOT,23,1152,1024,52.9,4.8,862,777,52.6,4.7,9.0,93.1,102.,57.8,42.2
4,2010-11,DAL,23,829,823,50.2,3.6,638,628,50.4,4.3,9.9,93.7,103.,56.5,43.5
5,2010-11,PIT,23,323,201,61.6,8.4,224,149,60.1,6.4,6.5,90.8,97.3,62.8,37.2
6,2011-12,PIT,24,1390,1023,57.6,4.0,1040,747,58.2,4.1,9.4,88.9,98.3,64.3,35.7
7,2012-13,PIT,25,565,471,54.5,5.7,406,357,53.2,1.8,9.1,92.2,101.,59.0,41.0
8,2013-14,PIT,26,938,720,56.6,10.3,699,564,55.3,9.3,10.5,90.8,101.,58.6,41.4
9,2014-15,NSH,27,1183,883,57.3,6.2,848,652,56.5,4.6,9.3,90.7,100.,65.5,34.5
10,2015-16,NSH,28,1348,1128,54.4,3.2,993,809,55.1,2.4,9.4,94.0,103.,61.1,38.9
11,2016-17,NSH,29,340,303,52.9,3.7,248,226,52.3,3.5,8.7,93.0,101.,54.7,45.3
